City_Council_District,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
18.0,2009,10469,2.496573330722538
18.0,2010,10296,-1.6524978507975927
18.0,2011,11205,8.828671328671328
18.0,2012,9715,-13.297634984381974
18.0,2013,7626,-21.502830674215133
18.0,2014,7716,1.1801730920535012
18.0,2015,6206,-19.569725246241575
18.0,2016,5833,-6.010312600708991
18.0,2017,5699,-2.2972741299502832
18.0,2018,4662,-18.19617476750307
18.0,2019,3802,-18.447018447018447
18.0,2020,3020,-20.568122041031035
18.0,2021,3267,8.178807947019868
18.0,2022,4316,32.108968472604836
18.0,2023,2677,-37.97497683039852
19.0,2006,2438,
19.0,2007,2292,-5.988515176374077
19.0,2008,2264,-1.2216404886561953
19.0,2009,2325,2.6943462897526502
19.0,2010,2345,0.8602150537634409
19.0,2011,2168,-7.547974413646055
19.0,2012,2146,-1.014760147601476
19.0,2013,2311,7.688723205964585
19.0,2014,2087,-9.692773691042838
19.0,2015,1876,-10.11020603737422
19.0,2016,1878,0.10660980810234541
19.0,2017,1801,-4.10010649627263
19.0,2018,1515,-15.880066629650194
19.0,2019,1350,-10.891089108910892
19.0,2020,844,-37.48148148148148
19.0,2021,1031,22.156398104265403
19.0,2022,1160,12.51212415130941
19.0,2023,696,-40.0
20.0,2006,4265,
20.0,2007,3973,-6.846424384525205
20.0,2008,3816,-3.9516737981374277
20.0,2009,4038,5.817610062893082
20.0,2010,3874,-4.061416542842991
20.0,2011,4513,16.4945792462571
20.0,2012,4420,-2.0607134943496566
20.0,2013,4375,-1.0180995475113122
20.0,2014,4154,-5.051428571428572
20.0,2015,3860,-7.077515647568608
20.0,2016,3634,-5.854922279792746
20.0,2017,3409,-6.191524490919098
20.0,2018,3337,-2.112056321501907
20.0,2019,2933,-12.106682649086006
20.0,2020,1839,-37.29969314694851
20.0,2021,2061,12.071778140293638
20.0,2022,2838,37.70014556040756
20.0,2023,1858,-34.53136011275546
21.0,2006,8777,
21.0,2007,9417,7.291785348068816
21.0,2008,9405,-0.12742911755336095
21.0,2009,10076,7.1345029239766085
21.0,2010,8590,-14.747915839618898
21.0,2011,7724,-10.08149010477299
21.0,2012,7609,-1.488865872604868
21.0,2013,8034,5.585490866079643
21.0,2014,7678,-4.431167537963654
21.0,2015,6817,-11.21385777546236
21.0,2016,6035,-11.471321695760599
21.0,2017,5745,-4.8053024026512015
21.0,2018,5525,-3.829416884247171
21.0,2019,5023,-9.085972850678733
21.0,2020,3384,-32.62990244873581
21.0,2021,3386,0.0591016548463357
21.0,2022,3348,-1.1222681630242175
21.0,2023,2029,-39.396654719235364
22.0,2006,4299,
22.0,2007,4680,8.862526168876483
22.0,2008,3997,-14.594017094017095
22.0,2009,3993,-0.10007505629221916
22.0,2010,3829,-4.107187578261958
22.0,2011,3548,-7.338730739096371
22.0,2012,3603,1.5501691093573844
22.0,2013,3868,7.354981959478213
22.0,2014,4116,6.41158221302999
22.0,2015,3725,-9.499514091350827
22.0,2016,3979,6.818791946308725
22.0,2017,3526,-11.384770042724304
22.0,2018,3012,-14.577424844015882
22.0,2019,2643,-12.250996015936256
22.0,2020,1965,-25.652667423382518
22.0,2021,2412,22.748091603053435
22.0,2022,2767,14.718076285240464
22.0,2023,1299,-53.05384893386339
23.0,2006,2583,
23.0,2007,2738,6.00077429345722
23.0,2008,2476,-9.569028487947406
23.0,2009,2641,6.663974151857835
23.0,2010,2464,-6.702006815600152
23.0,2011,2491,1.0957792207792207
23.0,2012,2522,1.244480128462465
23.0,2013,2849,12.965900079302143
23.0,2014,2927,2.737802737802738
23.0,2015,2468,-15.681585240860949
23.0,2016,2536,2.755267423014587
23.0,2017,2551,0.5914826498422713
23.0,2018,2185,-14.347314778518228
23.0,2019,1887,-13.638443935926773
23.0,2020,1476,-21.78060413354531
23.0,2021,1536,4.0650406504065035
23.0,2022,2029,32.09635416666667
23.0,2023,1176,-42.04041399704288
24.0,2006,4791,
24.0,2007,4280,-10.665831767898142
24.0,2008,4493,4.9766355140186915
24.0,2009,4676,4.073002448252837
24.0,2010,4678,0.0427715996578272
24.0,2011,4656,-0.470286447199658
24.0,2012,4992,7.216494845360824
24.0,2013,5774,15.665064102564102
24.0,2014,5629,-2.511257360581919
24.0,2015,4884,-13.235032865517853
24.0,2016,4083,-16.4004914004914
24.0,2017,3904,-4.384031349497918
24.0,2018,2948,-24.487704918032787
24.0,2019,2670,-9.430122116689281
24.0,2020,1886,-29.363295880149813
24.0,2021,2188,16.01272534464475
24.0,2022,2600,18.82998171846435
24.0,2023,1664,-36.0
25.0,2006,4867,
25.0,2007,5276,8.403534004520239
25.0,2008,5184,-1.7437452615617892
25.0,2009,5341,3.0285493827160495
25.0,2010,5822,9.005804156524995
25.0,2011,5199,-10.700790106492613
25.0,2012,4298,-17.33025581842662
25.0,2013,4345,1.093531875290833
25.0,2014,4724,8.722669735327964
25.0,2015,4185,-11.40982218458933
25.0,2016,3290,-21.385902031063324
25.0,2017,2639,-19.78723404255319
25.0,2018,2359,-10.610079575596817
25.0,2019,2210,-6.3162356930902925
25.0,2020,1267,-42.66968325791855
25.0,2021,1417,11.838989739542226
25.0,2022,2588,82.6393789696542
25.0,2023,1648,-36.321483771251934
26.0,2006,5685,
26.0,2007,6373,12.102022867194371
26.0,2008,5437,-14.686960615094932
26.0,2009,5085,-6.474158543314328
26.0,2010,5045,-0.7866273352999017
26.0,2011,4959,-1.7046580773042619
26.0,2012,4222,-14.861867311958058
26.0,2013,5137,21.672193273330176
26.0,2014,4885,-4.905586918434884
26.0,2015,3979,-18.546571136131014
26.0,2016,3847,-3.317416436290525
26.0,2017,4011,4.263062126332207
26.0,2018,3238,-19.272001994515083
26.0,2019,2766,-14.576899320568252
26.0,2020,1700,-38.53940708604483
26.0,2021,2566,50.94117647058823
26.0,2022,3019,17.653936087295403
26.0,2023,1599,-47.035442199403775
27.0,2006,6520,
27.0,2007,6973,6.947852760736197
27.0,2008,7416,6.353076150867633
27.0,2009,8234,11.030204962243797
27.0,2010,8548,3.813456400291474
27.0,2011,8335,-2.4918109499298082
27.0,2012,8809,5.686862627474505
27.0,2013,10326,17.22102395277557
27.0,2014,10921,5.762153786558202
27.0,2015,9929,-9.083417269480817
27.0,2016,8151,-17.907140698962635
27.0,2017,6654,-18.365844681634155
27.0,2018,6265,-5.846107604448452
27.0,2019,6334,1.1013567438148444
27.0,2020,3527,-44.31638774865804
27.0,2021,3847,9.07286645874681
27.0,2022,5097,32.49285157265401
27.0,2023,3481,-31.704924465371786
28.0,2006,7615,
28.0,2007,8501,11.634931057124097
28.0,2008,8310,-2.2467944947653216
28.0,2009,8726,5.006016847172082
28.0,2010,7571,-13.236305294522118
28.0,2011,7249,-4.253070928543125
28.0,2012,7953,9.711684370257966
28.0,2013,8034,1.018483591097699
28.0,2014,7762,-3.3856111526014443
28.0,2015,6200,-20.123679464055655
28.0,2016,6071,-2.0806451612903225
28.0,2017,5684,-6.374567616537638
28.0,2018,5512,-3.0260380014074597
28.0,2019,4639,-15.838171262699566
28.0,2020,3319,-28.454408277646042
28.0,2021,3327,0.24103645676408555
28.0,2022,3473,4.3883378418996095
28.0,2023,2278,-34.408292542470484
29.0,2006,4092,
29.0,2007,4474,9.335288367546433
29.0,2008,4715,5.386678587393831
29.0,2009,4682,-0.6998939554612937
29.0,2010,4687,0.10679196924391286
29.0,2011,4499,-4.011094516748453
29.0,2012,4409,-2.000444543231829
29.0,2013,4832,9.59401224767521
29.0,2014,4707,-2.5869205298013247
29.0,2015,4206,-10.64372211599745
29.0,2016,4123,-1.9733713742272945
29.0,2017,3678,-10.793111811787533
29.0,2018,3567,-3.0179445350734095
29.0,2019,3401,-4.653770675637791
29.0,2020,2253,-33.75477800646868
29.0,2021,2764,22.68086995117621
29.0,2022,3163,14.435600578871203
29.0,2023,1744,-44.8624723363895
30.0,2006,3176,
30.0,2007,3023,-4.817380352644837
30.0,2008,3276,8.369169698974527
30.0,2009,3920,19.65811965811966
30.0,2010,4166,6.275510204081633
30.0,2011,4038,-3.072491598655785
30.0,2012,3780,-6.389301634472511
30.0,2013,3837,1.507936507936508
30.0,2014,3560,-7.219181652332551
30.0,2015,2853,-19.859550561797754
30.0,2016,2628,-7.886435331230284
30.0,2017,2702,2.8158295281582952
30.0,2018,2398,-11.250925240562546
30.0,2019,1952,-18.59883236030025
30.0,2020,1695,-13.165983606557377
30.0,2021,1725,1.7699115044247788
30.0,2022,1831,6.144927536231884
30.0,2023,870,-52.48498088476242
31.0,2006,5825,
31.0,2007,5860,0.6008583690987125
31.0,2008,6135,4.692832764505119
31.0,2009,6222,1.4180929095354522
31.0,2010,6292,1.1250401800064287
31.0,2011,6047,-3.8938334392879845
31.0,2012,5696,-5.804531172482222
31.0,2013,6231,9.392556179775282
31.0,2014,7059,13.288396726047184
31.0,2015,5463,-22.6094347641309
31.0,2016,5037,-7.797913234486546
31.0,2017,4884,-3.0375223347230493
31.0,2018,4281,-12.346437346437346
31.0,2019,3458,-19.224480261621117
31.0,2020,2534,-26.720647773279353
31.0,2021,2411,-4.8539857932123125
31.0,2022,2532,5.018664454583161
31.0,2023,1652,-34.75513428120063
32.0,2006,3936,
32.0,2007,4294,9.095528455284553
32.0,2008,4088,-4.797391709361901
32.0,2009,4475,9.466731898238748
32.0,2010,4596,2.7039106145251397
32.0,2011,4215,-8.28981723237598
32.0,2012,4363,3.511269276393832
32.0,2013,4854,11.2537245014898
32.0,2014,4476,-7.787391841779975
32.0,2015,4218,-5.7640750670241285
32.0,2016,4197,-0.4978662873399715
32.0,2017,3740,-10.888730045270432
32.0,2018,3209,-14.197860962566844
32.0,2019,2792,-12.994702399501401
32.0,2020,1930,-30.873925501432666
32.0,2021,1992,3.2124352331606216
32.0,2022,2690,35.040160642570285
32.0,2023,1617,-39.888475836431226
33.0,2006,6288,
33.0,2007,6336,0.7633587786259541
33.0,2008,6498,2.556818181818182
33.0,2009,7173,10.38781163434903
33.0,2010,7330,2.1887634183744598
33.0,2011,7332,0.027285129604365622
33.0,2012,6682,-8.865248226950355
33.0,2013,6525,-2.3495959293624664
33.0,2014,6131,-6.038314176245211
33.0,2015,5839,-4.762681454901322
