State_Senate_District,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
12.0,2012,0,2226,17.653276955602536
12.0,2012,1,1824,-18.059299191374663
12.0,2012,2,1756,-3.7280701754385963
12.0,2012,3,1554,-11.503416856492027
12.0,2013,0,1941,24.903474903474905
12.0,2013,1,1997,2.8851107676455436
12.0,2013,2,2022,1.2518778167250877
12.0,2013,3,1823,-9.841740850642926
12.0,2014,0,2043,12.068019747668677
12.0,2014,1,2002,-2.006852667645619
12.0,2014,2,2022,0.999000999000999
12.0,2014,3,1879,-7.072205736894165
12.0,2015,0,1589,-15.433741351782862
12.0,2015,1,1703,7.174323473882946
12.0,2015,2,1656,-2.7598355842630653
12.0,2015,3,1657,0.06038647342995169
12.0,2016,0,1503,-9.293904646952324
12.0,2016,1,1565,4.125083166999334
12.0,2016,2,1373,-12.268370607028753
12.0,2016,3,1530,11.43481427530954
12.0,2017,0,1278,-16.470588235294116
12.0,2017,1,1373,7.433489827856025
12.0,2017,2,1313,-4.369992716678805
12.0,2017,3,1289,-1.827875095201828
12.0,2018,0,1373,6.516679596586501
12.0,2018,1,1323,-3.641660597232338
12.0,2018,2,1091,-17.535903250188962
12.0,2018,3,1107,1.466544454628781
12.0,2019,0,1057,-4.5167118337850045
12.0,2019,1,1144,8.230842005676443
12.0,2019,2,1118,-2.272727272727273
12.0,2019,3,1012,-9.481216457960643
12.0,2020,0,887,-12.351778656126482
12.0,2020,1,646,-27.17023675310034
12.0,2020,2,605,-6.3467492260061915
12.0,2020,3,775,28.09917355371901
12.0,2021,0,869,12.129032258064516
12.0,2021,1,833,-4.1426927502876865
12.0,2021,2,871,4.561824729891957
12.0,2021,3,875,0.4592422502870264
12.0,2022,0,929,6.171428571428572
12.0,2022,1,1099,18.29924650161464
12.0,2022,2,1079,-1.8198362147406733
12.0,2022,3,1157,7.228915662650602
12.0,2023,0,1144,-1.1235955056179776
12.0,2023,1,1098,-4.020979020979021
13.0,2006,0,3098,
13.0,2006,1,3291,6.229825693996126
13.0,2006,2,3217,-2.248556669705257
13.0,2006,3,2868,-10.84861672365558
13.0,2007,0,3277,14.260808926080893
13.0,2007,1,3502,6.8660360085444
13.0,2007,2,3549,1.3420902341519132
13.0,2007,3,2908,-18.061425753733445
13.0,2008,0,3356,15.405777166437415
13.0,2008,1,3539,5.452920143027414
13.0,2008,2,3201,-9.550720542526138
13.0,2008,3,3109,-2.874101843174008
13.0,2009,0,3746,20.488903184303634
13.0,2009,1,3738,-0.21356113187399892
13.0,2009,2,3462,-7.3836276083467105
13.0,2009,3,3168,-8.492201039861353
13.0,2010,0,3432,8.333333333333332
13.0,2010,1,3541,3.175990675990676
13.0,2010,2,3113,-12.086981078791302
13.0,2010,3,2697,-13.363315130099581
13.0,2011,0,2802,3.8932146829810903
13.0,2011,1,3112,11.063526052819414
13.0,2011,2,2926,-5.976863753213368
13.0,2011,3,2610,-10.799726589200272
13.0,2012,0,3006,15.172413793103448
13.0,2012,1,2784,-7.385229540918163
13.0,2012,2,2744,-1.4367816091954022
13.0,2012,3,2194,-20.043731778425656
13.0,2013,0,2742,24.97721057429353
13.0,2013,1,2997,9.299781181619256
13.0,2013,2,2759,-7.941274607941275
13.0,2013,3,2470,-10.47480971366437
13.0,2014,0,2673,8.218623481781377
13.0,2014,1,3179,18.930041152263374
13.0,2014,2,3045,-4.215162000629129
13.0,2014,3,2289,-24.82758620689655
13.0,2015,0,2313,1.0484927916120577
13.0,2015,1,2793,20.752269779507134
13.0,2015,2,2449,-12.316505549588257
13.0,2015,3,2153,-12.08656594528379
13.0,2016,0,2120,-1.5327450069670228
13.0,2016,1,2200,3.7735849056603774
13.0,2016,2,1986,-9.727272727272727
13.0,2016,3,2003,0.8559919436052367
13.0,2017,0,1934,-3.4448327508736893
13.0,2017,1,2037,5.325749741468459
13.0,2017,2,1878,-7.80559646539028
13.0,2017,3,1719,-8.466453674121405
13.0,2018,0,1776,3.315881326352531
13.0,2018,1,1894,6.6441441441441444
13.0,2018,2,1902,0.42238648363252373
13.0,2018,3,1483,-22.02944269190326
13.0,2019,0,1684,13.553607552258933
13.0,2019,1,1540,-8.551068883610451
13.0,2019,2,1652,7.2727272727272725
13.0,2019,3,1437,-13.01452784503632
13.0,2020,0,1285,-10.57759220598469
13.0,2020,1,971,-24.43579766536965
13.0,2020,2,937,-3.5015447991761075
13.0,2020,3,1047,11.739594450373533
13.0,2021,0,1095,4.584527220630372
13.0,2021,1,1032,-5.7534246575342465
13.0,2021,2,1083,4.941860465116279
13.0,2021,3,1114,2.862419205909511
13.0,2022,0,1193,7.091561938958707
13.0,2022,1,1392,16.680637049455154
13.0,2022,2,1283,-7.830459770114942
13.0,2022,3,1263,-1.558846453624318
13.0,2023,0,1504,19.08155186064925
13.0,2023,1,1659,10.305851063829788
14.0,2006,0,2753,
14.0,2006,1,2835,2.9785688339992737
14.0,2006,2,2628,-7.301587301587302
14.0,2006,3,2390,-9.056316590563165
14.0,2007,0,2672,11.799163179916318
14.0,2007,1,2835,6.100299401197605
14.0,2007,2,2595,-8.465608465608465
14.0,2007,3,2587,-0.3082851637764933
14.0,2008,0,3307,27.831465017394663
14.0,2008,1,2678,-19.020260054429997
14.0,2008,2,2733,2.0537714712471993
14.0,2008,3,2774,1.500182949140139
14.0,2009,0,3379,21.80966113914924
14.0,2009,1,3272,-3.166617342408997
14.0,2009,2,2964,-9.41320293398533
14.0,2009,3,2889,-2.5303643724696356
14.0,2010,0,3286,13.74177916233991
14.0,2010,1,3489,6.17772367620207
14.0,2010,2,3321,-4.815133276010318
14.0,2010,3,3128,-5.811502559470039
14.0,2011,0,3335,6.61764705882353
14.0,2011,1,3548,6.38680659670165
14.0,2011,2,3168,-10.710259301014656
14.0,2011,3,3034,-4.22979797979798
14.0,2012,0,3542,16.743572841133815
14.0,2012,1,3192,-9.881422924901186
14.0,2012,2,3437,7.675438596491229
14.0,2012,3,2734,-20.453884201338376
14.0,2013,0,3336,22.019019751280176
14.0,2013,1,3568,6.954436450839328
14.0,2013,2,3592,0.672645739910314
14.0,2013,3,3458,-3.7305122494432075
14.0,2014,0,3749,8.415268941584731
14.0,2014,1,3586,-4.3478260869565215
14.0,2014,2,3680,2.6213050752928053
14.0,2014,3,2864,-22.17391304347826
14.0,2015,0,3224,12.569832402234638
14.0,2015,1,3136,-2.729528535980149
14.0,2015,2,3083,-1.6900510204081634
14.0,2015,3,2917,-5.384365877392151
14.0,2016,0,2975,1.988344189235516
14.0,2016,1,2685,-9.747899159663866
14.0,2016,2,2272,-15.381750465549349
14.0,2016,3,2045,-9.991197183098592
14.0,2017,0,2280,11.491442542787286
14.0,2017,1,2120,-7.017543859649122
14.0,2017,2,1964,-7.3584905660377355
14.0,2017,3,1988,1.2219959266802443
14.0,2018,0,1916,-3.6217303822937628
14.0,2018,1,1765,-7.881002087682671
14.0,2018,2,1719,-2.6062322946175636
14.0,2018,3,1636,-4.828388598022106
14.0,2019,0,1855,13.386308068459657
14.0,2019,1,1803,-2.803234501347709
14.0,2019,2,1692,-6.156405990016639
14.0,2019,3,1393,-17.671394799054376
14.0,2020,0,1405,0.8614501076812634
14.0,2020,1,938,-33.23843416370107
14.0,2020,2,935,-0.31982942430703626
14.0,2020,3,1118,19.572192513368982
14.0,2021,0,1239,10.822898032200358
14.0,2021,1,1063,-14.205004035512511
14.0,2021,2,1282,20.602069614299154
14.0,2021,3,1132,-11.700468018720748
14.0,2022,0,1245,9.982332155477032
14.0,2022,1,1488,19.518072289156628
14.0,2022,2,1608,8.064516129032258
14.0,2022,3,1794,11.567164179104477
14.0,2023,0,2128,18.61761426978818
14.0,2023,1,2480,16.541353383458645
15.0,2006,0,1913,
15.0,2006,1,2056,7.4751698902247785
15.0,2006,2,1953,-5.009727626459144
15.0,2006,3,2093,7.168458781362006
15.0,2007,0,2370,13.234591495461059
15.0,2007,1,2318,-2.1940928270042197
15.0,2007,2,2110,-8.973252804141502
15.0,2007,3,2089,-0.9952606635071091
15.0,2008,0,2249,7.659167065581618
15.0,2008,1,2253,0.17785682525566918
15.0,2008,2,2209,-1.9529516200621395
15.0,2008,3,2131,-3.531009506564056
15.0,2009,0,2227,4.504927264195214
15.0,2009,1,2423,8.801077682981589
15.0,2009,2,2109,-12.959141560049526
15.0,2009,3,2016,-4.409672830725462
15.0,2010,0,2241,11.160714285714286
15.0,2010,1,2406,7.362784471218206
15.0,2010,2,2250,-6.483790523690773
15.0,2010,3,2129,-5.377777777777778
15.0,2011,0,2223,4.415218412400188
