Congressional_District,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
8.0,2021,3,3816,-3.269961977186312
8.0,2022,0,4426,15.985324947589099
8.0,2022,1,5122,15.725259828287394
8.0,2022,2,4717,-7.907067551737603
8.0,2022,3,4841,2.6287894848420605
8.0,2023,0,5725,18.26068994009502
8.0,2023,1,6067,5.973799126637554
9.0,2006,0,6442,
9.0,2006,1,6570,1.9869605712511642
9.0,2006,2,6620,0.76103500761035
9.0,2006,3,6139,-7.265861027190332
9.0,2007,0,7327,19.351685942335887
9.0,2007,1,7201,-1.7196669851235156
9.0,2007,2,7305,1.444243855020136
9.0,2007,3,6500,-11.019849418206707
9.0,2008,0,7356,13.169230769230769
9.0,2008,1,6608,-10.168569874932027
9.0,2008,2,6429,-2.7088377723970947
9.0,2008,3,6013,-6.47067973246228
9.0,2009,0,7375,22.650923000166305
9.0,2009,1,7086,-3.91864406779661
9.0,2009,2,7091,0.07056167090036691
9.0,2009,3,6550,-7.6293893668029895
9.0,2010,0,7297,11.404580152671755
9.0,2010,1,7877,7.948471974784158
9.0,2010,2,7078,-10.14345563031611
9.0,2010,3,6754,-4.577564283695959
9.0,2011,0,7066,4.619484749777909
9.0,2011,1,7312,3.4814605151429383
9.0,2011,2,7098,-2.9266958424507656
9.0,2011,3,6491,-8.55170470555086
9.0,2012,0,7586,16.869511631489758
9.0,2012,1,6972,-8.093857105193777
9.0,2012,2,7015,0.6167527251864601
9.0,2012,3,5476,-21.938702779757662
9.0,2013,0,6472,18.18845872899927
9.0,2013,1,6881,6.319530284301607
9.0,2013,2,6780,-1.4678099113500944
9.0,2013,3,6503,-4.0855457227138645
9.0,2014,0,6859,5.4743964324158085
9.0,2014,1,7210,5.117364047237206
9.0,2014,2,7450,3.3287101248266295
9.0,2014,3,5776,-22.469798657718123
9.0,2015,0,5737,-0.6752077562326869
9.0,2015,1,6407,11.678577653826041
9.0,2015,2,6277,-2.0290307476197906
9.0,2015,3,5455,-13.095427752110881
9.0,2016,0,5781,5.976168652612282
