Police_Precinct,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
24.0,2012,3028,8.608321377331421
24.0,2013,2810,-7.199471598414796
24.0,2014,2687,-4.377224199288256
24.0,2015,2644,-1.6002977298101972
24.0,2016,2299,-13.048411497730712
24.0,2017,2198,-4.393214441061331
24.0,2018,1788,-18.653321201091902
24.0,2019,1396,-21.92393736017897
24.0,2020,1220,-12.607449856733524
24.0,2021,1492,22.295081967213115
24.0,2022,1717,15.080428954423592
24.0,2023,1009,-41.234711706464765
25.0,2006,8048,
25.0,2007,9210,14.438369781312128
25.0,2008,8909,-3.2681867535287736
25.0,2009,8882,-0.3030643169828263
25.0,2010,9937,11.877955415446971
25.0,2011,8751,-11.93519170775888
25.0,2012,9438,7.850531367843675
25.0,2013,9834,4.195804195804196
25.0,2014,9651,-1.8608907870652835
25.0,2015,7407,-23.251476530929438
25.0,2016,6691,-9.666531659241258
25.0,2017,6512,-2.6752353908234943
25.0,2018,5362,-17.65970515970516
25.0,2019,4671,-12.8869824692279
25.0,2020,2798,-40.098479982873044
25.0,2021,2944,5.218012866333095
25.0,2022,3031,2.9551630434782608
25.0,2023,1792,-40.877598152424945
26.0,2006,2559,
26.0,2007,2706,5.74443141852286
26.0,2008,3163,16.888396156688838
26.0,2009,3280,3.699019917799557
26.0,2010,3299,0.5792682926829268
26.0,2011,3261,-1.151864201273113
26.0,2012,3688,13.094142900950628
26.0,2013,3717,0.7863340563991325
26.0,2014,2859,-23.08313155770783
26.0,2015,2636,-7.799930045470445
26.0,2016,2205,-16.350531107739
26.0,2017,2022,-8.299319727891156
26.0,2018,1863,-7.863501483679524
26.0,2019,1673,-10.198604401502951
26.0,2020,1063,-36.46144650328751
26.0,2021,1062,-0.09407337723424271
26.0,2022,1031,-2.919020715630885
26.0,2023,554,-46.26576139670223
28.0,2006,6337,
28.0,2007,6394,0.8994792488559256
28.0,2008,6293,-1.579605880512981
28.0,2009,7358,16.923565866836167
28.0,2010,6708,-8.8339222614841
28.0,2011,6388,-4.770423375074538
28.0,2012,6438,0.7827175954915466
28.0,2013,6176,-4.069586828207518
28.0,2014,5665,-8.273963730569948
28.0,2015,4329,-23.58340688437776
28.0,2016,4416,2.0097020097020097
28.0,2017,3383,-23.392210144927535
28.0,2018,2370,-29.9438368312149
28.0,2019,2199,-7.215189873417721
28.0,2020,1468,-33.24238290131878
28.0,2021,1947,32.629427792915536
28.0,2022,2465,26.605033384694405
28.0,2023,1213,-50.79107505070994
30.0,2006,4589,
30.0,2007,5510,20.069731967748965
30.0,2008,4752,-13.756805807622504
30.0,2009,5593,17.69781144781145
30.0,2010,4601,-17.736456284641516
30.0,2011,4580,-0.45642251684416435
30.0,2012,4518,-1.3537117903930131
30.0,2013,4899,8.432934926958831
30.0,2014,4179,-14.69687691365585
30.0,2015,3799,-9.093084469968892
30.0,2016,3334,-12.24006317451961
30.0,2017,2049,-38.54229154169166
30.0,2018,1691,-17.471937530502686
30.0,2019,1556,-7.983441750443525
30.0,2020,1040,-33.16195372750643
30.0,2021,1492,43.46153846153846
30.0,2022,1826,22.386058981233244
30.0,2023,807,-55.80503833515882
32.0,2006,6014,
32.0,2007,6188,2.893249085467243
32.0,2008,7267,17.436974789915965
32.0,2009,7042,-3.096188248245493
32.0,2010,6530,-7.270661743822777
32.0,2011,6626,1.4701378254211332
32.0,2012,5883,-11.213401750679143
32.0,2013,5512,-6.306306306306306
32.0,2014,5302,-3.8098693759071116
32.0,2015,5032,-5.092417955488495
32.0,2016,5189,3.120031796502385
32.0,2017,3862,-25.573328194257083
32.0,2018,3105,-19.60124287933713
32.0,2019,2965,-4.508856682769726
32.0,2020,1837,-38.043844856661046
32.0,2021,2357,28.307022318998364
32.0,2022,2308,-2.0789138735680948
32.0,2023,1109,-51.94974003466204
33.0,2006,5683,
33.0,2007,6772,19.162414217842688
33.0,2008,6883,1.6391021854695806
33.0,2009,6591,-4.242336190614558
33.0,2010,5898,-10.514337733272644
33.0,2011,5505,-6.663275686673449
33.0,2012,5091,-7.520435967302452
33.0,2013,5451,7.071302298173247
33.0,2014,4866,-10.731975784259769
33.0,2015,4140,-14.919852034525277
33.0,2016,3935,-4.951690821256038
33.0,2017,3488,-11.359593392630241
33.0,2018,2617,-24.97133027522936
33.0,2019,2201,-15.896064195643866
33.0,2020,1497,-31.9854611540209
33.0,2021,2056,37.34134936539746
33.0,2022,1777,-13.570038910505836
33.0,2023,1087,-38.829487900956664
34.0,2006,5726,
34.0,2007,6449,12.62661543835138
34.0,2008,5856,-9.195224065746627
34.0,2009,6174,5.4303278688524586
34.0,2010,6143,-0.5021056041464205
34.0,2011,6075,-1.1069510011395085
34.0,2012,6063,-0.19753086419753088
34.0,2013,5443,-10.225960745505526
34.0,2014,5846,7.404005144221937
34.0,2015,4585,-21.570304481696887
34.0,2016,4478,-2.3336968375136316
34.0,2017,4146,-7.414024117909782
34.0,2018,3132,-24.457308248914618
34.0,2019,2449,-21.807151979565774
34.0,2020,1473,-39.85300122498979
34.0,2021,1432,-2.7834351663272234
34.0,2022,1867,30.377094972067038
34.0,2023,1508,-19.228709159078736
40.0,2006,10762,
40.0,2007,11025,2.4437836833302358
40.0,2008,10866,-1.4421768707482994
40.0,2009,11614,6.883857905392969
40.0,2010,11184,-3.7024281040123985
40.0,2011,10445,-6.607653791130186
40.0,2012,11155,6.797510770703687
40.0,2013,11078,-0.6902734199910354
40.0,2014,12471,12.574471926340495
40.0,2015,11892,-4.642771229251864
40.0,2016,10181,-14.387823747056844
40.0,2017,8200,-19.457813574305078
40.0,2018,6597,-19.54878048780488
40.0,2019,6968,5.62376837956647
40.0,2020,4284,-38.51894374282434
40.0,2021,3957,-7.633053221288516
40.0,2022,5612,41.824614607025524
40.0,2023,3477,-38.04347826086957
41.0,2006,5722,
41.0,2007,6646,16.14819993009437
41.0,2008,7040,5.928377971712308
41.0,2009,7090,0.7102272727272727
41.0,2010,6994,-1.3540197461212977
41.0,2011,7739,10.651987417786675
41.0,2012,7193,-7.0551750872205705
41.0,2013,7080,-1.5709717781176142
41.0,2014,7240,2.2598870056497176
41.0,2015,6411,-11.450276243093922
41.0,2016,5968,-6.90999844018094
41.0,2017,4743,-20.526139410187668
41.0,2018,3626,-23.550495467004005
41.0,2019,3050,-15.88527302813017
41.0,2020,2217,-27.311475409836067
41.0,2021,1941,-12.449255751014885
41.0,2022,3081,58.73261205564142
41.0,2023,1780,-42.22654982148653
42.0,2006,5389,
42.0,2007,5429,0.7422527370569679
42.0,2008,6112,12.580585743230799
42.0,2009,7336,20.026178010471206
42.0,2010,7143,-2.6308615049073065
42.0,2011,6908,-3.2899342013159734
