City_Council_District,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
4.0,2018,2,1358,-1.7366136034732274
4.0,2018,3,1309,-3.608247422680412
4.0,2019,0,1300,-0.6875477463712758
4.0,2019,1,1219,-6.230769230769231
4.0,2019,2,1365,11.977030352748153
4.0,2019,3,1224,-10.329670329670328
4.0,2020,0,935,-23.61111111111111
4.0,2020,1,607,-35.08021390374332
4.0,2020,2,561,-7.57825370675453
4.0,2020,3,809,44.20677361853833
4.0,2021,0,792,-2.1013597033374536
4.0,2021,1,677,-14.520202020202019
4.0,2021,2,793,17.134416543574595
4.0,2021,3,818,3.1525851197982346
4.0,2022,0,970,18.581907090464547
4.0,2022,1,1073,10.618556701030927
4.0,2022,2,1136,5.871388630009319
4.0,2022,3,1239,9.066901408450704
4.0,2023,0,1087,-12.267958030669895
4.0,2023,1,1229,13.063477460901565
5.0,2006,0,385,
5.0,2006,1,373,-3.116883116883117
5.0,2006,2,444,19.034852546916888
5.0,2006,3,421,-5.18018018018018
5.0,2007,0,431,2.375296912114014
5.0,2007,1,411,-4.640371229698376
5.0,2007,2,493,19.951338199513383
5.0,2007,3,457,-7.302231237322515
5.0,2008,0,358,-21.663019693654267
5.0,2008,1,365,1.9553072625698324
5.0,2008,2,412,12.876712328767123
5.0,2008,3,342,-16.990291262135923
5.0,2009,0,368,7.602339181286549
5.0,2009,1,413,12.228260869565217
5.0,2009,2,290,-29.782082324455207
5.0,2009,3,350,20.689655172413794
5.0,2010,0,362,3.428571428571429
5.0,2010,1,336,-7.18232044198895
5.0,2010,2,393,16.964285714285715
5.0,2010,3,386,-1.7811704834605597
5.0,2011,0,358,-7.253886010362693
5.0,2011,1,427,19.273743016759777
5.0,2011,2,346,-18.969555035128806
5.0,2011,3,407,17.63005780346821
5.0,2012,0,461,13.267813267813267
5.0,2012,1,425,-7.809110629067245
5.0,2012,2,404,-4.941176470588235
5.0,2012,3,349,-13.613861386138614
5.0,2013,0,378,8.30945558739255
5.0,2013,1,385,1.8518518518518516
5.0,2013,2,343,-10.909090909090908
5.0,2013,3,332,-3.206997084548105
5.0,2014,0,321,-3.313253012048193
5.0,2014,1,377,17.445482866043612
5.0,2014,2,369,-2.122015915119363
5.0,2014,3,320,-13.279132791327914
5.0,2015,0,295,-7.8125
5.0,2015,1,298,1.0169491525423728
5.0,2015,2,375,25.838926174496645
5.0,2015,3,282,-24.8
5.0,2016,0,323,14.539007092198581
5.0,2016,1,356,10.21671826625387
5.0,2016,2,342,-3.932584269662921
5.0,2016,3,335,-2.046783625730994
5.0,2017,0,312,-6.865671641791045
5.0,2017,1,332,6.41025641025641
5.0,2017,2,395,18.97590361445783
5.0,2017,3,284,-28.10126582278481
5.0,2018,0,262,-7.746478873239436
5.0,2018,1,202,-22.900763358778626
5.0,2018,2,219,8.415841584158416
5.0,2018,3,228,4.10958904109589
5.0,2019,0,230,0.8771929824561403
5.0,2019,1,275,19.565217391304348
5.0,2019,2,208,-24.363636363636363
5.0,2019,3,245,17.78846153846154
5.0,2020,0,214,-12.653061224489795
5.0,2020,1,151,-29.439252336448597
5.0,2020,2,102,-32.450331125827816
5.0,2020,3,147,44.11764705882353
5.0,2021,0,154,4.761904761904762
5.0,2021,1,155,0.6493506493506493
5.0,2021,2,164,5.806451612903226
5.0,2021,3,186,13.414634146341465
5.0,2022,0,187,0.5376344086021506
5.0,2022,1,216,15.508021390374333
5.0,2022,2,208,-3.7037037037037033
5.0,2022,3,223,7.211538461538461
5.0,2023,0,210,-5.829596412556054
5.0,2023,1,233,10.952380952380953
6.0,2006,0,1006,
6.0,2006,1,1148,14.115308151093439
6.0,2006,2,1002,-12.717770034843207
6.0,2006,3,1073,7.0858283433133735
6.0,2007,0,1226,14.259086672879775
6.0,2007,1,1330,8.482871125611746
6.0,2007,2,1201,-9.699248120300751
6.0,2007,3,1112,-7.410491257285595
6.0,2008,0,1312,17.985611510791365
6.0,2008,1,1235,-5.86890243902439
6.0,2008,2,1204,-2.5101214574898787
6.0,2008,3,1081,-10.215946843853821
6.0,2009,0,1308,20.999074930619795
6.0,2009,1,1310,0.1529051987767584
6.0,2009,2,1313,0.22900763358778628
6.0,2009,3,1093,-16.755521706016754
6.0,2010,0,1242,13.632204940530649
6.0,2010,1,1236,-0.4830917874396135
6.0,2010,2,1352,9.385113268608414
6.0,2010,3,1094,-19.08284023668639
6.0,2011,0,1182,8.043875685557587
6.0,2011,1,1220,3.2148900169204735
6.0,2011,2,1010,-17.21311475409836
6.0,2011,3,1053,4.257425742574258
6.0,2012,0,980,-6.932573599240266
6.0,2012,1,1109,13.16326530612245
6.0,2012,2,1071,-3.4265103697024344
6.0,2012,3,910,-15.032679738562091
6.0,2013,0,1030,13.186813186813188
6.0,2013,1,1013,-1.650485436893204
6.0,2013,2,989,-2.3692003948667324
6.0,2013,3,928,-6.167846309403438
6.0,2014,0,945,1.8318965517241377
6.0,2014,1,1179,24.761904761904763
6.0,2014,2,1116,-5.343511450381679
6.0,2014,3,844,-24.372759856630825
6.0,2015,0,801,-5.0947867298578196
6.0,2015,1,1082,35.08114856429464
6.0,2015,2,1012,-6.469500924214418
6.0,2015,3,801,-20.8498023715415
6.0,2016,0,861,7.490636704119851
6.0,2016,1,861,0.0
6.0,2016,2,775,-9.988385598141695
6.0,2016,3,648,-16.387096774193548
6.0,2017,0,733,13.117283950617283
6.0,2017,1,872,18.963165075034105
6.0,2017,2,778,-10.77981651376147
