Zipcode,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
10007.0,2009,2,366,5.475504322766571
10007.0,2009,3,343,-6.284153005464481
10007.0,2010,0,353,2.9154518950437316
10007.0,2010,1,374,5.94900849858357
10007.0,2010,2,337,-9.893048128342247
10007.0,2010,3,407,20.77151335311573
10007.0,2011,0,358,-12.039312039312039
10007.0,2011,1,419,17.039106145251395
10007.0,2011,2,380,-9.307875894988067
10007.0,2011,3,832,118.94736842105263
10007.0,2012,0,423,-49.15865384615385
10007.0,2012,1,353,-16.548463356973993
10007.0,2012,2,430,21.813031161473088
10007.0,2012,3,345,-19.767441860465116
10007.0,2013,0,302,-12.46376811594203
10007.0,2013,1,404,33.77483443708609
10007.0,2013,2,403,-0.24752475247524752
10007.0,2013,3,356,-11.662531017369728
10007.0,2014,0,332,-6.741573033707865
10007.0,2014,1,367,10.542168674698797
10007.0,2014,2,332,-9.536784741144414
10007.0,2014,3,357,7.530120481927711
10007.0,2015,0,279,-21.84873949579832
10007.0,2015,1,308,10.39426523297491
10007.0,2015,2,372,20.77922077922078
10007.0,2015,3,349,-6.182795698924731
10007.0,2016,0,339,-2.865329512893983
10007.0,2016,1,347,2.359882005899705
10007.0,2016,2,354,2.0172910662824206
10007.0,2016,3,316,-10.734463276836157
10007.0,2017,0,277,-12.341772151898734
10007.0,2017,1,305,10.108303249097473
10007.0,2017,2,255,-16.39344262295082
10007.0,2017,3,306,20.0
10007.0,2018,0,312,1.9607843137254901
10007.0,2018,1,381,22.115384615384613
10007.0,2018,2,224,-41.20734908136483
10007.0,2018,3,277,23.660714285714285
10007.0,2019,0,277,0.0
10007.0,2019,1,347,25.27075812274368
10007.0,2019,2,243,-29.971181556195965
10007.0,2019,3,261,7.4074074074074066
10007.0,2020,0,248,-4.980842911877394
10007.0,2020,1,75,-69.75806451612904
10007.0,2020,2,130,73.33333333333333
10007.0,2020,3,212,63.07692307692307
10007.0,2021,0,121,-42.924528301886795
10007.0,2021,1,134,10.743801652892563
10007.0,2021,2,101,-24.62686567164179
10007.0,2021,3,153,51.48514851485149
10007.0,2022,0,158,3.2679738562091507
10007.0,2022,1,185,17.088607594936708
10007.0,2022,2,206,11.351351351351353
10007.0,2022,3,180,-12.62135922330097
10007.0,2023,0,211,17.22222222222222
10007.0,2023,1,220,4.265402843601896
10009.0,2006,0,594,
10009.0,2006,1,632,6.397306397306397
10009.0,2006,2,591,-6.487341772151899
10009.0,2006,3,621,5.0761421319796955
10009.0,2007,0,697,12.238325281803544
10009.0,2007,1,656,-5.88235294117647
10009.0,2007,2,577,-12.042682926829269
10009.0,2007,3,522,-9.532062391681109
10009.0,2008,0,625,19.731800766283524
10009.0,2008,1,606,-3.04
10009.0,2008,2,544,-10.231023102310232
10009.0,2008,3,474,-12.867647058823529
10009.0,2009,0,597,25.949367088607595
10009.0,2009,1,639,7.035175879396985
10009.0,2009,2,577,-9.702660406885759
10009.0,2009,3,465,-19.410745233968804
10009.0,2010,0,505,8.60215053763441
10009.0,2010,1,622,23.16831683168317
10009.0,2010,2,626,0.6430868167202572
10009.0,2010,3,477,-23.80191693290735
10009.0,2011,0,508,6.498951781970649
10009.0,2011,1,637,25.393700787401574
10009.0,2011,2,565,-11.302982731554161
10009.0,2011,3,487,-13.805309734513274
10009.0,2012,0,586,20.32854209445585
10009.0,2012,1,593,1.1945392491467577
10009.0,2012,2,649,9.443507588532883
10009.0,2012,3,458,-29.429892141756547
10009.0,2013,0,479,4.585152838427948
10009.0,2013,1,583,21.711899791231733
10009.0,2013,2,516,-11.49228130360206
10009.0,2013,3,489,-5.232558139534884
10009.0,2014,0,452,-7.566462167689162
10009.0,2014,1,505,11.725663716814159
10009.0,2014,2,479,-5.148514851485149
10009.0,2014,3,414,-13.569937369519833
10009.0,2015,0,511,23.42995169082126
10009.0,2015,1,432,-15.459882583170254
10009.0,2015,2,520,20.37037037037037
10009.0,2015,3,357,-31.346153846153847
10009.0,2016,0,370,3.6414565826330536
10009.0,2016,1,491,32.7027027027027
10009.0,2016,2,464,-5.4989816700611
10009.0,2016,3,433,-6.68103448275862
10009.0,2017,0,417,-3.695150115473441
10009.0,2017,1,343,-17.74580335731415
10009.0,2017,2,311,-9.329446064139942
10009.0,2017,3,374,20.257234726688104
10009.0,2018,0,364,-2.6737967914438503
10009.0,2018,1,288,-20.87912087912088
10009.0,2018,2,260,-9.722222222222223
10009.0,2018,3,220,-15.384615384615385
10009.0,2019,0,241,9.545454545454547
10009.0,2019,1,245,1.6597510373443984
10009.0,2019,2,234,-4.489795918367347
10009.0,2019,3,216,-7.6923076923076925
10009.0,2020,0,186,-13.88888888888889
10009.0,2020,1,174,-6.451612903225806
10009.0,2020,2,85,-51.14942528735632
10009.0,2020,3,132,55.294117647058826
10009.0,2021,0,173,31.060606060606062
10009.0,2021,1,178,2.8901734104046244
10009.0,2021,2,274,53.93258426966292
10009.0,2021,3,262,-4.37956204379562
10009.0,2022,0,248,-5.343511450381679
10009.0,2022,1,296,19.35483870967742
10009.0,2022,2,239,-19.256756756756758
10009.0,2022,3,216,-9.623430962343097
10009.0,2023,0,239,10.648148148148149
10009.0,2023,1,264,10.460251046025103
10010.0,2006,0,350,
10010.0,2006,1,351,0.2857142857142857
10010.0,2006,2,361,2.849002849002849
10010.0,2006,3,360,-0.2770083102493075
10010.0,2007,0,370,2.7777777777777777
10010.0,2007,1,389,5.135135135135135
10010.0,2007,2,411,5.655526992287918
10010.0,2007,3,326,-20.68126520681265
10010.0,2008,0,344,5.521472392638037
10010.0,2008,1,369,7.267441860465117
10010.0,2008,2,403,9.214092140921409
10010.0,2008,3,389,-3.4739454094292808
10010.0,2009,0,369,-5.141388174807198
10010.0,2009,1,409,10.840108401084011
10010.0,2009,2,390,-4.645476772616137
10010.0,2009,3,300,-23.076923076923077
10010.0,2010,0,296,-1.3333333333333335
10010.0,2010,1,265,-10.472972972972974
10010.0,2010,2,263,-0.7547169811320755
10010.0,2010,3,217,-17.490494296577946
10010.0,2011,0,324,49.30875576036866
10010.0,2011,1,355,9.5679012345679
10010.0,2011,2,324,-8.732394366197182
10010.0,2011,3,337,4.012345679012346
10010.0,2012,0,379,12.462908011869436
10010.0,2012,1,413,8.970976253298153
10010.0,2012,2,470,13.801452784503631
10010.0,2012,3,473,0.6382978723404255
10010.0,2013,0,535,13.107822410147993
10010.0,2013,1,676,26.355140186915886
10010.0,2013,2,539,-20.266272189349113
10010.0,2013,3,627,16.3265306122449
10010.0,2014,0,680,8.452950558213717
10010.0,2014,1,768,12.941176470588237
10010.0,2014,2,608,-20.833333333333336
10010.0,2014,3,444,-26.973684210526315
10010.0,2015,0,518,16.666666666666664
10010.0,2015,1,669,29.150579150579148
10010.0,2015,2,706,5.5306427503736915
10010.0,2015,3,675,-4.390934844192635
10010.0,2016,0,685,1.4814814814814816
10010.0,2016,1,454,-33.72262773722628
10010.0,2016,2,406,-10.572687224669604
10010.0,2016,3,431,6.157635467980295
10010.0,2017,0,445,3.248259860788863
10010.0,2017,1,482,8.314606741573034
10010.0,2017,2,426,-11.618257261410788
10010.0,2017,3,398,-6.572769953051644
10010.0,2018,0,352,-11.557788944723619
10010.0,2018,1,349,-0.8522727272727272
10010.0,2018,2,381,9.169054441260744
10010.0,2018,3,319,-16.27296587926509
10010.0,2019,0,415,30.094043887147336
10010.0,2019,1,350,-15.66265060240964
10010.0,2019,2,293,-16.28571428571429
10010.0,2019,3,265,-9.556313993174061
10010.0,2020,0,306,15.471698113207546
10010.0,2020,1,155,-49.34640522875817
