Zipcode,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
10011.0,2016,3265,-16.21760328457788
10011.0,2017,2812,-13.874425727411946
10011.0,2018,2175,-22.652916073968708
10011.0,2019,1901,-12.597701149425285
10011.0,2020,1303,-31.45712782745923
10011.0,2021,1462,12.202609363008442
10011.0,2022,1607,9.917920656634747
10011.0,2023,934,-41.87927815805849
10012.0,2006,1508,
10012.0,2007,1555,3.116710875331565
10012.0,2008,1900,22.186495176848876
10012.0,2009,1938,2.0
10012.0,2010,2126,9.700722394220847
10012.0,2011,2187,2.8692380056444025
10012.0,2012,2097,-4.11522633744856
10012.0,2013,1903,-9.251311397234144
10012.0,2014,1820,-4.361534419337888
10012.0,2015,1530,-15.934065934065933
10012.0,2016,1428,-6.666666666666667
10012.0,2017,1230,-13.865546218487395
10012.0,2018,950,-22.76422764227642
10012.0,2019,637,-32.94736842105263
10012.0,2020,551,-13.500784929356357
10012.0,2021,372,-32.48638838475499
10012.0,2022,701,88.44086021505376
10012.0,2023,401,-42.796005706134096
10013.0,2006,4690,
10013.0,2007,5410,15.351812366737741
10013.0,2008,5515,1.9408502772643252
10013.0,2009,5870,6.43699002719855
10013.0,2010,5413,-7.78534923339012
10013.0,2011,4601,-15.00092370219841
10013.0,2012,4979,8.215605303194957
10013.0,2013,5227,4.980919863426391
10013.0,2014,5249,0.42089152477520564
10013.0,2015,4877,-7.087064202705277
10013.0,2016,4750,-2.604059872872668
10013.0,2017,4438,-6.568421052631579
10013.0,2018,4165,-6.151419558359621
10013.0,2019,3930,-5.642256902761105
10013.0,2020,2014,-48.75318066157761
10013.0,2021,2718,34.955312810327705
10013.0,2022,3219,18.432671081677704
10013.0,2023,1655,-48.58651755203479
10014.0,2006,2084,
10014.0,2007,2374,13.915547024952016
10014.0,2008,2549,7.371524852569503
10014.0,2009,2723,6.826206355433503
10014.0,2010,2772,1.7994858611825193
10014.0,2011,2809,1.3347763347763348
10014.0,2012,2458,-12.49555001779993
10014.0,2013,2601,5.817737998372661
10014.0,2014,2636,1.3456362937331794
10014.0,2015,1904,-27.769347496206375
10014.0,2016,1374,-27.836134453781515
10014.0,2017,1562,13.682678311499272
10014.0,2018,1346,-13.828425096030731
