State_Assembly_District,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
31.0,2010,0,1278,12.00701139351446
31.0,2010,1,1317,3.051643192488263
31.0,2010,2,1318,0.07593014426727411
31.0,2010,3,1143,-13.277693474962064
31.0,2011,0,1235,8.048993875765529
31.0,2011,1,1315,6.477732793522267
31.0,2011,2,1247,-5.171102661596958
31.0,2011,3,1265,1.4434643143544506
31.0,2012,0,1383,9.328063241106719
31.0,2012,1,1212,-12.364425162689804
31.0,2012,2,1207,-0.4125412541254125
31.0,2012,3,867,-28.169014084507044
31.0,2013,0,1056,21.79930795847751
31.0,2013,1,1276,20.833333333333336
31.0,2013,2,1290,1.09717868338558
31.0,2013,3,1354,4.961240310077519
31.0,2014,0,1434,5.908419497784342
31.0,2014,1,1440,0.41841004184100417
31.0,2014,2,1444,0.2777777777777778
31.0,2014,3,1127,-21.952908587257618
31.0,2015,0,1087,-3.54924578527063
31.0,2015,1,1034,-4.875804967801288
31.0,2015,2,1125,8.800773694390715
31.0,2015,3,917,-18.488888888888887
31.0,2016,0,1085,18.3206106870229
31.0,2016,1,1086,0.09216589861751152
31.0,2016,2,941,-13.351749539594843
31.0,2016,3,966,2.6567481402763016
31.0,2017,0,943,-2.380952380952381
31.0,2017,1,931,-1.2725344644750796
31.0,2017,2,900,-3.329752953813104
31.0,2017,3,936,4.0
31.0,2018,0,1104,17.94871794871795
31.0,2018,1,903,-18.206521739130434
31.0,2018,2,801,-11.295681063122924
31.0,2018,3,674,-15.85518102372035
31.0,2019,0,688,2.0771513353115725
31.0,2019,1,738,7.267441860465117
31.0,2019,2,655,-11.246612466124661
31.0,2019,3,558,-14.80916030534351
31.0,2020,0,636,13.978494623655912
31.0,2020,1,433,-31.91823899371069
31.0,2020,2,362,-16.397228637413395
31.0,2020,3,447,23.480662983425415
31.0,2021,0,447,0.0
31.0,2021,1,466,4.250559284116331
31.0,2021,2,488,4.721030042918455
31.0,2021,3,448,-8.19672131147541
31.0,2022,0,395,-11.830357142857142
31.0,2022,1,480,21.518987341772153
31.0,2022,2,527,9.791666666666666
31.0,2022,3,475,-9.867172675521822
31.0,2023,0,607,27.789473684210524
31.0,2023,1,640,5.436573311367381
32.0,2006,0,2135,
32.0,2006,1,2256,5.667447306791569
32.0,2006,2,2007,-11.037234042553191
32.0,2006,3,1884,-6.128550074738415
32.0,2007,0,2215,17.569002123142248
32.0,2007,1,2301,3.882618510158013
32.0,2007,2,2324,0.9995654063450673
32.0,2007,3,2390,2.8399311531841653
32.0,2008,0,2892,21.00418410041841
32.0,2008,1,2219,-23.271092669432917
32.0,2008,2,2397,8.021631365479946
32.0,2008,3,2311,-3.5878181059657908
32.0,2009,0,2804,21.33275638251839
32.0,2009,1,2650,-5.492154065620542
32.0,2009,2,2763,4.264150943396226
32.0,2009,3,2586,-6.406080347448426
32.0,2010,0,2486,-3.8669760247486464
32.0,2010,1,2573,3.4995977473853577
