Zipcode,Year,Population,Economy: Median worker earnings,Economy: Percent below poverty level,Economy: Unemployment rate,Race: White,Race: Black or African American,Race: American Indian and Alaska Native,Race: Asian,Race: Native Hawaiian and Other Pacific Islander,Race: Other,Race: Two or more,Ethnicity: Hispanic or Latino,Ethnicity: Not Hispanic or Latino,Immigration: Native-born,Immigration: Native-born – in the US,"Immigration: Native-born – in Puerto Rico, US islands, or abroad to US parents",Immigration: Foreign-born,Immigration: Foreign-born – Naturalized citizen,Immigration: Foreign-born: Not US citizen,Immigration: Foreign-born – Europe,Immigration: Foreign-born – Asia,Immigration: Foreign-born – Africa,Immigration: Foreign-born – Oceania,Immigration: Foreign-born – Latin America,Immigration: Foreign-born – North America,Language: Population 5+ years,Language: English only,Language: Not English,Language: Not English – Speaks English 'less than well',Language: Spanish,Language: Spanish – Speaks English 'less than well',Language: Other Indo-European,Language: Other Indo-European – Speaks English 'less than well',Language: Asian and Pacific Islander,Language: Asian and Pacific Islander – Speaks English 'less than well',Language: Other,Language: Other – Speaks English 'less than well'
11232,2011,27925,22496,27.5,10.6,12195,1906,96,3329,0,9346,1053,16926,10999,15594,13686,1908,12331,3844,8487,1014,3137,238,22,7889,31,26001,7260,18741,11147,13791,7918,1377,736,2691,2079,882,414
11204,2011,78690,26559,20.1,8.7,54871,554,105,20780,0,1674,706,8077,70613,43262,41823,1439,35428,19686,15742,13234,17400,579,10,4047,158,72751,20245,52506,27963,6275,3579,23686,10454,18696,12720,3849,1210
11218,2011,76811,30747,22.2,6.8,44478,7539,288,12822,0,9926,1758,15378,61433,46581,44495,2086,30230,15492,14738,8348,11574,346,54,9738,170,70381,29050,41331,22655,12501,6722,22337,12669,3859,2323,2634,941
11219,2011,94083,21560,32.4,7.7,62378,1340,285,24382,0,5394,304,10876,83207,56077,54228,1849,38006,17797,20209,10155,20665,554,9,6081,542,82309,17938,64371,35286,8759,5457,31887,13347,19404,14645,4321,1837
11230,2011,85757,29866,20.9,8.1,62147,7897,71,9697,0,4518,1427,8984,76773,48466,46777,1689,37291,22046,15245,14240,14085,854,11,7942,159,79059,33751,45308,26930,8141,5072,28140,17048,4149,2927,4878,1883
11203,2011,80337,32448,13.7,11.6,3455,73154,141,995,9,1543,1040,4772,75565,39258,38169,1089,41079,27006,14073,525,793,1017,0,38577,167,75532,61499,14033,5733,4042,1293,7883,3537,673,423,1435,480
11210,2011,64508,34756,15.5,8.9,23257,36438,33,1913,58,1775,1034,4377,60131,39627,38767,860,24881,15671,9210,2039,2101,653,6,19953,129,59959,41031,18928,10650,3621,1906,11567,7192,815,478,2925,1074
11225,2011,58987,29753,20.8,16.5,7893,46073,173,1163,0,3023,662,5302,53685,32571,31207,1364,26416,13963,12453,616,1417,1730,56,22416,181,55584,40577,15007,7220,4546,1869,7667,4030,837,487,1957,834
11226,2011,99422,28219,20.6,12.0,10097,75953,220,3247,19,8242,1644,16060,83362,48239,46363,1876,51183,25445,25738,846,2689,2330,100,45077,141,92924,59593,33331,13170,12714,5696,17169,6056,1412,783,2036,635
11234,2011,94891,37712,9.8,8.5,44551,41709,215,3724,251,3009,1432,7236,87655,61691,60431,1260,33200,23978,9222,6244,4368,612,10,21909,57,88673,60542,28131,11740,5069,1603,18318,8450,1860,816,2884,871
11236,2011,94643,37072,12.3,7.6,7623,79744,161,2814,0,3758,543,7532,87111,49973,48261,1712,44670,29298,15372,1186,2329,1306,0,39652,197,89274,64326,24948,10169,6111,2155,14629,6083,2423,1150,1785,781
11239,2011,12802,34668,31.6,11.8,4620,6313,39,158,0,1414,258,3224,9578,9002,8530,472,3800,3257,543,1694,605,132,0,1353,16,12167,6635,5532,2351,2434,422,2320,1783,286,97,492,49
11209,2011,71704,43092,13.2,7.8,56639,1427,166,8465,114,3376,1517,10448,61256,49869,48225,1644,21835,13762,8073,7907,8635,1702,57,3418,116,67449,38153,29296,12230,5999,2317,11521,4869,5074,2646,6702,2398
11214,2011,78326,29665,16.4,7.5,46636,774,244,26312,177,3461,722,9476,68850,38214,36841,1373,40112,24668,15444,14746,19977,782,38,4504,65,73986,21539,52447,37065,7438,5390,21529,14699,21568,15773,1912,1203
11228,2011,42585,37282,10.2,8.0,29670,688,117,10476,13,1350,271,4210,38375,27343,26561,782,15242,9342,5900,5444,7565,277,11,1854,91,40465,19289,21176,11818,2974,1506,9077,4480,8070,5335,1055,497
11223,2011,73208,30973,15.7,8.8,48847,2276,148,16766,19,3716,1436,8827,64381,40261,38979,1282,32947,20555,12392,11571,16299,1038,0,3851,188,68781,24031,44750,29710,6727,4593,18975,12085,13764,10140,5284,2892
11224,2011,45092,28527,24.8,13.1,27162,11536,213,2744,33,2648,756,7254,37838,25724,23842,1882,19368,14812,4556,13376,3072,361,0,2559,0,43413,18837,24576,16904,4820,2996,16344,11751,2428,1798,984,359
11229,2011,77021,35861,14.9,8.1,55534,3487,89,15443,0,2000,468,6361,70660,43552,42209,1343,33469,23065,10404,15404,14799,638,57,2462,109,72372,33710,38662,22744,4245,1641,19272,11495,12576,8435,2569,1173
11235,2011,71129,36494,18.5,6.8,56791,2085,132,10100,0,1151,870,5873,65256,28238,27252,986,42891,31107,11784,27124,11573,448,0,3678,68,67773,17396,50377,33405,5060,3449,37118,24837,6898,4304,1301,815
11206,2011,79674,23798,37.9,12.5,33226,21938,301,4098,8,18303,1800,35774,43900,61902,54879,7023,17772,7949,9823,1206,3009,294,22,13051,190,72728,29963,42765,21146,29659,14758,8919,3644,3349,2262,838,482
11221,2011,77041,28114,28.7,13.9,19773,41962,144,2235,5,11649,1273,31874,45167,55737,50046,5691,21304,8683,12621,234,1742,1065,0,18203,60,71925,42070,29855,13757,25507,11584,2514,1256,1059,671,775,246
11237,2011,52123,21904,31.1,6.0,12547,3452,101,3172,0,31725,1126,40629,11494,27460,23235,4225,24663,5666,18997,652,2643,174,34,21142,18,47868,8905,38963,30332,34788,27611,1506,712,2144,1628,525,381
10031,2011,58736,25112,27.6,9.5,14545,22682,323,1285,17,11272,8612,32052,26684,35773,33577,2196,22963,9050,13913,1023,1241,680,200,19601,218,55355,22132,33223,15757,29163,15113,2666,327,551,125,843,192
10032,2011,62798,21197,27.2,15.9,14612,14490,590,2234,0,27688,3184,42945,19853,31945,29730,2215,30853,12408,18445,599,2124,688,14,27288,140,59251,16655,42596,25850,38064,23976,2091,880,1663,550,778,444
10033,2011,58027,21987,26.3,13.2,24020,4215,209,1295,34,25624,2630,41108,16919,29374,27030,2344,28653,13546,15107,1833,1379,183,0,24898,360,54904,13301,41603,22290,37509,20751,2562,827,1058,672,474,40
10034,2011,40925,25020,21.7,13.0,14745,4131,212,728,97,19183,1829,29774,11151,21386,19732,1654,19539,7723,11816,833,579,75,42,17999,11,38587,10537,28050,16050,26799,15715,888,265,242,67,121,3
10040,2011,43753,23721,25.4,15.7,18176,4128,94,875,0,18720,1760,31078,12675,22575,21212,1363,21178,10463,10715,2108,1090,135,0,17721,124,41445,10218,31227,16191,28225,14813,1781,863,588,349,633,166
10026,2011,36026,36199,28.8,9.8,8208,20832,199,1691,0,3798,1298,6960,29066,27825,26858,967,8201,3539,4662,623,1850,1639,20,3887,182,33404,22837,10567,3918,5328,2097,2567,699,995,412,1677,710
10027,2011,58834,30508,29.5,7.8,17072,24818,108,4854,120,9587,2275,14095,44739,43586,41466,2120,15248,5941,9307,2431,3441,1803,73,7179,321,55826,35085,20741,7544,11985,5142,4486,1111,2799,1032,1471,259
10030,2011,29186,27045,30.8,14.0,3947,21272,12,448,0,1652,1855,6394,22792,21597,20977,620,7589,2795,4794,551,357,1904,28,4613,136,27426,18944,8482,4128,5318,2459,1625,827,257,35,1282,807
10037,2011,17489,34871,19.5,14.8,1349,13548,40,655,0,601,1296,2607,14882,15112,14887,225,2377,1110,1267,75,383,209,0,1693,17,16682,13415,3267,862,2284,640,565,90,232,91,186,41
10039,2011,25257,25316,28.8,21.2,3090,17534,142,275,0,3087,1129,7039,18218,19615,18781,834,5642,2020,3622,164,182,1355,0,3929,12,23420,15776,7644,4145,5296,2770,1178,538,266,122,904,715
10115,2011,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10029,2011,78451,27231,27.7,13.3,24145,24868,177,6327,40,20547,2347,39302,39149,57854,50139,7715,20597,7914,12683,1592,5294,1256,11,12328,116,74254,31731,42523,17421,33394,13447,4469,1369,3664,2227,996,378
10035,2011,35290,25827,38.6,14.5,7080,13402,159,1039,12,12469,1129,18323,16967,26628,23395,3233,8662,2846,5816,701,750,548,47,6542,74,32502,15574,16928,8056,14608,7128,1255,368,576,352,489,208
10023,2011,60035,75415,10.1,5.9,49473,1853,45,5583,21,1483,1577,5449,54586,47727,45932,1795,12308,5606,6702,4696,4370,360,465,1973,444,56360,43099,13261,3046,4647,1146,4751,665,2905,1137,958,98
10024,2011,60239,72488,7.3,5.0,50856,3073,260,2977,0,927,2146,6301,53938,48087,46501,1586,12152,6170,5982,4785,2543,725,205,3120,774,56267,43527,12740,3554,4644,1693,5483,1287,1406,425,1207,149
10025,2011,95330,48476,16.6,7.3,61830,15484,640,8633,0,5534,3209,20051,75279,71573,68310,3263,23757,11499,12258,5880,6898,891,181,9164,743,90442,59337,31105,9516,16318,6319,7959,1275,5133,1738,1695,184
10069,2011,5214,120451,4.5,5.7,3828,118,0,1049,0,114,105,320,4894,3757,3685,72,1457,696,761,572,616,0,0,165,104,4677,3141,1536,278,381,27,555,105,534,146,66,0
10021,2011,41546,74873,4.7,3.4,36437,1019,128,3339,0,158,465,1983,39563,33547,32898,649,7999,4151,3848,3711,2926,255,11,855,241,39316,31409,7907,930,1662,254,3857,237,1833,426,555,13
10075,2011,26082,70889,7.5,4.9,22811,469,91,1773,0,574,364,2101,23981,20768,20352,416,5314,3145,2169,1871,1826,82,38,1239,258,24782,19214,5568,995,1429,299,2502,277,1185,331,452,88
10065,2011,32193,76709,6.0,4.5,28407,419,39,2539,0,243,546,1425,30768,25172,24473,699,7021,3595,3426,2609,2720,332,183,986,191,30543,23854,6689,1348,1533,282,3086,479,1425,398,645,189
10028,2011,45345,76337,4.9,5.2,40464,622,22,2982,46,375,834,2440,42905,37466,36648,818,7879,3711,4168,3403,2251,411,153,1270,391,42633,33839,8794,1689,2426,399,3990,691,1789,405,589,194
10044,2011,11399,46871,12.3,6.4,6428,2024,96,2003,0,375,473,1858,9541,6413,6153,260,4986,1559,3427,1281,2026,717,136,689,137,10663,5323,5340,1941,1526,407,2285,856,1095,607,434,71
10128,2011,58793,69697,7.2,5.6,48262,2295,59,5812,15,1248,1102,5652,53141,46477,44592,1885,12316,5860,6456,4749,4163,471,140,2288,505,56015,41127,14888,3726,4795,1855,5787,735,3214,1013,1092,123
10162,2011,1608,151400,0.9,2.6,1474,0,0,88,0,0,46,286,1322,1424,1375,49,184,120,64,47,86,12,0,23,16,1434,1066,368,0,236,0,96,0,36,0,0,0
10001,2011,21097,47554,16.2,8.8,13471,2207,266,3538,0,791,824,2985,18112,16091,15350,741,5006,2373,2633,1357,2214,85,55,1008,287,20421,14038,6383,1777,2210,783,1836,165,2158,829,179,0
10011,2011,51064,71513,9.9,6.5,40505,1955,296,4739,0,1292,2277,5587,45477,41312,39986,1326,9752,4714,5038,3340,3279,171,283,1931,748,49255,36380,12875,2525,4746,1042,5078,415,2659,942,392,126
10018,2011,5290,57714,20.0,5.4,3106,380,50,1256,0,382,116,1107,4183,3336,3164,172,1954,714,1240,506,869,57,31,456,35,5135,2641,2494,840,873,397,810,146,779,294,32,3
10019,2011,40778,63117,11.9,6.9,29568,2338,124,5294,13,2214,1227,7450,33328,28245,26960,1285,12533,5637,6896,3478,3901,338,132,4213,471,39387,25614,13773,5085,6039,2639,4285,1030,3037,1338,412,78
10020,2011,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10036,2011,22371,51171,14.1,9.8,14015,1835,84,3888,0,1644,905,3854,18517,15578,14883,695,6793,2575,4218,1494,2676,98,170,2048,307,21704,13757,7947,2421,3203,1232,2193,340,2231,766,320,83
10111,2011,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10105,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10118,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10112,2011,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10122,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10107,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10103,2011,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10104,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10110,2011,4,31250,25.0,0.0,2,0,0,0,0,1,1,1,3,4,4,0,0,0,0,0,0,0,0,0,0,4,3,1,0,1,0,0,0,0,0,0,0
10121,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10123,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10106,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10096,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10097,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10196,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10119,2011,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10010,2011,28954,66324,12.4,7.8,21802,1330,0,3691,0,982,1149,3452,25502,22975,21850,1125,5979,2851,3128,1623,2595,189,78,1152,342,28017,20305,7712,2317,2812,1039,2637,504,1907,765,356,9
10016,2011,53754,69282,9.2,5.0,40826,1893,120,7366,0,2576,973,5051,48703,40903,40018,885,12851,5687,7164,4358,5056,401,139,2583,314,51817,36850,14967,3912,4625,1056,5497,945,3948,1800,897,111
10017,2011,15603,78106,8.1,4.6,11953,312,10,2792,0,186,350,1132,14471,11263,11036,227,4340,1753,2587,1324,1969,163,24,673,187,15260,11003,4257,1189,821,242,1892,301,1318,573,226,73
10022,2011,28847,85888,3.6,5.3,24614,579,0,2809,0,349,496,1671,27176,22212,21744,468,6635,3075,3560,2656,2372,559,141,775,132,27667,20328,7339,1408,1636,208,3476,699,1409,348,818,153
10055,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10153,2011,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10154,2011,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10152,2011,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10165,2011,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10168,2011,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10176,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10170,2011,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10174,2011,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10166,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10169,2011,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10167,2011,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10177,2011,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10172,2011,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
