State_Senate_District,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
17.0,2019,3069,-4.4520547945205475
17.0,2020,2077,-32.323232323232325
17.0,2021,2410,16.032739528165624
17.0,2022,2698,11.950207468879668
17.0,2023,1725,-36.0637509266123
18.0,2006,14315,
18.0,2007,15055,5.169402724414949
18.0,2008,16194,7.565592826303553
18.0,2009,16369,1.080647153266642
18.0,2010,16541,1.050766693139471
18.0,2011,17697,6.98869475847893
18.0,2012,16216,-8.368650053681414
18.0,2013,15278,-5.784410458806118
18.0,2014,13473,-11.81437360911114
18.0,2015,11187,-16.967267869071474
18.0,2016,9927,-11.263073209975865
18.0,2017,9031,-9.025888989624258
18.0,2018,7317,-18.979072085040414
18.0,2019,6561,-10.33210332103321
18.0,2020,4130,-37.052278616064626
18.0,2021,4739,14.745762711864408
18.0,2022,5560,17.324330027431948
18.0,2023,3399,-38.86690647482015
19.0,2006,16004,
19.0,2007,16833,5.179955011247188
19.0,2008,16753,-0.47525693578090655
19.0,2009,18728,11.78893332537456
19.0,2010,18789,0.3257155061939342
19.0,2011,19716,4.933737825323328
19.0,2012,19838,0.6187867721647392
19.0,2013,18482,-6.835366468393992
19.0,2014,18514,0.17314143490964182
19.0,2015,15839,-14.44852544020741
19.0,2016,14090,-11.042363785592526
19.0,2017,11910,-15.47196593328602
19.0,2018,9831,-17.455919395465994
19.0,2019,8484,-13.701556301495271
19.0,2020,5586,-34.15841584158416
19.0,2021,6310,12.960973863229503
19.0,2022,8084,28.114104595879557
19.0,2023,5044,-37.6051459673429
20.0,2006,14408,
20.0,2007,15374,6.704608550805108
20.0,2008,14446,-6.036164953818134
20.0,2009,15624,8.15450643776824
20.0,2010,16787,7.443676395289299
20.0,2011,16011,-4.622624650026806
20.0,2012,14385,-10.155518081319093
20.0,2013,14450,0.45185957594716714
20.0,2014,14551,0.698961937716263
20.0,2015,11963,-17.785719194557075
20.0,2016,10995,-8.091615815430913
20.0,2017,10423,-5.202364711232378
20.0,2018,9007,-13.585340113211167
20.0,2019,7303,-18.918618852003995
20.0,2020,4547,-37.737915924962344
20.0,2021,4921,8.225203430833517
20.0,2022,5451,10.770168664905507
20.0,2023,3360,-38.359933957072094
21.0,2006,9315,
21.0,2007,10304,10.617283950617285
21.0,2008,9539,-7.424301242236026
21.0,2009,9681,1.488625642100849
21.0,2010,9713,0.33054436525152364
21.0,2011,9375,-3.479872336044477
21.0,2012,9332,-0.45866666666666667
21.0,2013,9285,-0.503643377625375
21.0,2014,9566,3.026386645126548
21.0,2015,8737,-8.666109136525193
21.0,2016,8057,-7.782991873640838
21.0,2017,7466,-7.335236440362418
21.0,2018,6915,-7.3801232252879725
21.0,2019,5774,-16.500361532899493
21.0,2020,3922,-32.07481815032906
21.0,2021,4229,7.827638959714431
21.0,2022,5138,21.494443130763774
21.0,2023,3027,-41.08602569093032
22.0,2006,4719,
22.0,2007,5016,6.293706293706294
22.0,2008,4717,-5.960925039872408
22.0,2009,4649,-1.4415942336230656
22.0,2010,4456,-4.151430415143041
22.0,2011,4469,0.29174147217235186
22.0,2012,4601,2.9536809129559187
22.0,2013,4869,5.824820691154097
22.0,2014,4918,1.0063668104333539
