Neighborhood,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
East Flatbrush - Flatbrush,2012,13066,-3.2721350310926858
East Flatbrush - Flatbrush,2013,13408,2.617480483698148
East Flatbrush - Flatbrush,2014,14264,6.384248210023865
East Flatbrush - Flatbrush,2015,12464,-12.619181155356141
East Flatbrush - Flatbrush,2016,11019,-11.593388960205392
East Flatbrush - Flatbrush,2017,10242,-7.051456575006807
East Flatbrush - Flatbrush,2018,9074,-11.404022651825816
East Flatbrush - Flatbrush,2019,7621,-16.01278377782676
East Flatbrush - Flatbrush,2020,4492,-41.057603988977824
East Flatbrush - Flatbrush,2021,5302,18.032056990204808
East Flatbrush - Flatbrush,2022,5832,9.99622783855149
East Flatbrush - Flatbrush,2023,3614,-38.03155006858711
East Harlem,2006,13145,
East Harlem,2007,13883,5.614302015975657
East Harlem,2008,13779,-0.7491176258733703
East Harlem,2009,14136,2.5908991944263007
East Harlem,2010,15030,6.32427843803056
East Harlem,2011,13533,-9.960079840319361
East Harlem,2012,14051,3.8276804847410038
East Harlem,2013,14211,1.1387089886840795
East Harlem,2014,13205,-7.079023291816198
East Harlem,2015,11680,-11.54865581219235
East Harlem,2016,10426,-10.736301369863014
East Harlem,2017,10043,-3.673508536351429
East Harlem,2018,8408,-16.279996017126358
East Harlem,2019,7024,-16.460513796384397
East Harlem,2020,3822,-45.58656036446469
East Harlem,2021,4639,21.376242804814233
East Harlem,2022,5510,18.775598189264926
East Harlem,2023,2907,-47.241379310344826
East New York,2006,12661,
East New York,2007,14682,15.962404233472869
East New York,2008,15136,3.092221768151478
East New York,2009,16577,9.520348837209303
East New York,2010,17129,3.329914942390059
East New York,2011,17471,1.9966139295930878
East New York,2012,16814,-3.7605174288821477
East New York,2013,15331,-8.820030926608778
East New York,2014,14298,-6.737981866805819
East New York,2015,12324,-13.80612673101133
East New York,2016,10358,-15.952612788055825
East New York,2017,8498,-17.95713458196563
East New York,2018,7035,-17.215815485996703
East New York,2019,5997,-14.754797441364605
East New York,2020,3594,-40.07003501750875
East New York,2021,4299,19.61602671118531
East New York,2022,6176,43.661316585252386
East New York,2023,3770,-38.95725388601036
Flushing - Clearview,2006,5237,
Flushing - Clearview,2007,4817,-8.019858697727706
Flushing - Clearview,2008,4900,1.7230641478098403
Flushing - Clearview,2009,4953,1.0816326530612244
Flushing - Clearview,2010,5001,0.9691096305269533
Flushing - Clearview,2011,5568,11.337732453509298
Flushing - Clearview,2012,5361,-3.7176724137931036
Flushing - Clearview,2013,5394,0.6155567991046447
Flushing - Clearview,2014,5162,-4.301075268817205
Flushing - Clearview,2015,4531,-12.223944207671446
Flushing - Clearview,2016,4425,-2.339439417347164
Flushing - Clearview,2017,4130,-6.666666666666667
Flushing - Clearview,2018,4030,-2.4213075060532687
Flushing - Clearview,2019,3603,-10.595533498759306
Flushing - Clearview,2020,3049,-15.37607549264502
Flushing - Clearview,2021,2628,-13.807805837979664
Flushing - Clearview,2022,3474,32.19178082191781
Flushing - Clearview,2023,2209,-36.413356361542895
Fordham - Bronx Park,2006,14413,
Fordham - Bronx Park,2007,16791,16.498993963782695
Fordham - Bronx Park,2008,16749,-0.2501340003573343
Fordham - Bronx Park,2009,17599,5.074929846558004
Fordham - Bronx Park,2010,18716,6.346951531337009
Fordham - Bronx Park,2011,16569,-11.47146826244924
Fordham - Bronx Park,2012,15319,-7.5442090651216125
Fordham - Bronx Park,2013,14928,-2.5523859259742805
Fordham - Bronx Park,2014,14128,-5.359056806002144
Fordham - Bronx Park,2015,11052,-21.77236693091733
Fordham - Bronx Park,2016,10525,-4.768367716250452
Fordham - Bronx Park,2017,10964,4.17102137767221
Fordham - Bronx Park,2018,9346,-14.757387814666181
Fordham - Bronx Park,2019,7832,-16.19944361224053
Fordham - Bronx Park,2020,4296,-45.14811031664964
Fordham - Bronx Park,2021,5101,18.738361266294227
Fordham - Bronx Park,2022,7066,38.52185845912566
Fordham - Bronx Park,2023,3849,-45.52787998867818
Fresh Meadows,2006,2016,
Fresh Meadows,2007,1709,-15.228174603174601
Fresh Meadows,2008,1853,8.42598010532475
Fresh Meadows,2009,1906,2.860226659471128
Fresh Meadows,2010,1803,-5.403987408184681
Fresh Meadows,2011,1669,-7.432057681641709
Fresh Meadows,2012,1898,13.72079089275015
Fresh Meadows,2013,1986,4.636459430979979
Fresh Meadows,2014,1971,-0.7552870090634441
Fresh Meadows,2015,1749,-11.263318112633181
Fresh Meadows,2016,1867,6.746712407089765
Fresh Meadows,2017,1949,4.392072844134976
Fresh Meadows,2018,1593,-18.26577732170344
Fresh Meadows,2019,1531,-3.89202762084118
Fresh Meadows,2020,1236,-19.268451992161985
Fresh Meadows,2021,1204,-2.5889967637540456
Fresh Meadows,2022,1374,14.119601328903656
Fresh Meadows,2023,739,-46.21542940320233
Gramercy Park - Murray Hill,2006,5680,
Gramercy Park - Murray Hill,2007,6037,6.285211267605634
Gramercy Park - Murray Hill,2008,5724,-5.184694384628127
Gramercy Park - Murray Hill,2009,5986,4.577218728162125
Gramercy Park - Murray Hill,2010,5381,-10.106916137654528
Gramercy Park - Murray Hill,2011,5879,9.254785355881806
Gramercy Park - Murray Hill,2012,6304,7.229120598741283
Gramercy Park - Murray Hill,2013,6865,8.899111675126905
Gramercy Park - Murray Hill,2014,6698,-2.4326292789512016
Gramercy Park - Murray Hill,2015,6813,1.7169304269931325
Gramercy Park - Murray Hill,2016,5520,-18.97842360193747
Gramercy Park - Murray Hill,2017,5317,-3.6775362318840576
Gramercy Park - Murray Hill,2018,4242,-20.21816813992853
Gramercy Park - Murray Hill,2019,3884,-8.43941537010844
Gramercy Park - Murray Hill,2020,2803,-27.832131822863026
Gramercy Park - Murray Hill,2021,2655,-5.280057081698181
Gramercy Park - Murray Hill,2022,2873,8.210922787193974
Gramercy Park - Murray Hill,2023,1596,-44.44831186912635
Greenpoint,2006,3619,
Greenpoint,2007,3458,-4.448742746615087
Greenpoint,2008,3746,8.328513591671486
Greenpoint,2009,3617,-3.443673251468233
Greenpoint,2010,3892,7.6029858999170585
Greenpoint,2011,3914,0.5652620760534429
Greenpoint,2012,3919,0.12774655084312722
Greenpoint,2013,4346,10.89563664200051
Greenpoint,2014,3719,-14.427059364933273
Greenpoint,2015,3541,-4.78623285829524
Greenpoint,2016,3430,-3.1347077096865297
Greenpoint,2017,3409,-0.6122448979591837
Greenpoint,2018,2904,-14.813728366089762
