Police_Precinct,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
7.0,2017,1,683,-14.08805031446541
7.0,2017,2,660,-3.3674963396778916
7.0,2017,3,566,-14.242424242424242
7.0,2018,0,710,25.4416961130742
7.0,2018,1,587,-17.323943661971832
7.0,2018,2,499,-14.991482112436117
7.0,2018,3,511,2.404809619238477
7.0,2019,0,608,18.98238747553816
7.0,2019,1,524,-13.815789473684212
7.0,2019,2,530,1.1450381679389312
7.0,2019,3,405,-23.58490566037736
7.0,2020,0,429,5.9259259259259265
7.0,2020,1,303,-29.37062937062937
7.0,2020,2,235,-22.442244224422442
7.0,2020,3,289,22.97872340425532
7.0,2021,0,383,32.52595155709342
7.0,2021,1,369,-3.6553524804177546
7.0,2021,2,345,-6.504065040650407
7.0,2021,3,483,40.0
7.0,2022,0,537,11.180124223602485
7.0,2022,1,477,-11.1731843575419
7.0,2022,2,522,9.433962264150944
7.0,2022,3,512,-1.9157088122605364
7.0,2023,0,449,-12.3046875
7.0,2023,1,516,14.92204899777283
9.0,2006,0,993,
9.0,2006,1,954,-3.927492447129909
9.0,2006,2,925,-3.039832285115304
9.0,2006,3,938,1.4054054054054055
9.0,2007,0,1049,11.83368869936034
9.0,2007,1,1030,-1.811248808388942
9.0,2007,2,927,-10.0
9.0,2007,3,867,-6.472491909385113
9.0,2008,0,1070,23.414071510957324
9.0,2008,1,985,-7.943925233644859
9.0,2008,2,917,-6.903553299492386
9.0,2008,3,824,-10.141766630316248
9.0,2009,0,1051,27.548543689320386
9.0,2009,1,1051,0.0
9.0,2009,2,987,-6.089438629876309
9.0,2009,3,888,-10.030395136778116
9.0,2010,0,999,12.5
9.0,2010,1,1136,13.713713713713712
9.0,2010,2,1168,2.8169014084507045
9.0,2010,3,946,-19.006849315068493
9.0,2011,0,1052,11.20507399577167
9.0,2011,1,1266,20.342205323193916
9.0,2011,2,1036,-18.167456556082147
9.0,2011,3,973,-6.081081081081082
9.0,2012,0,1151,18.29393627954779
9.0,2012,1,1172,1.8245004344048652
9.0,2012,2,1213,3.4982935153583616
9.0,2012,3,953,-21.434460016488046
9.0,2013,0,1040,9.12906610703043
9.0,2013,1,1035,-0.4807692307692308
9.0,2013,2,998,-3.5748792270531404
9.0,2013,3,949,-4.909819639278557
9.0,2014,0,944,-0.5268703898840885
9.0,2014,1,975,3.283898305084746
9.0,2014,2,932,-4.41025641025641
9.0,2014,3,863,-7.4034334763948495
9.0,2015,0,952,10.312862108922364
9.0,2015,1,854,-10.294117647058822
9.0,2015,2,894,4.683840749414521
9.0,2015,3,793,-11.297539149888143
9.0,2016,0,839,5.800756620428752
9.0,2016,1,832,-0.834326579261025
9.0,2016,2,827,-0.6009615384615385
9.0,2016,3,802,-3.0229746070133015
9.0,2017,0,724,-9.72568578553616
9.0,2017,1,651,-10.082872928176796
9.0,2017,2,646,-0.7680491551459293
9.0,2017,3,699,8.204334365325078
9.0,2018,0,693,-0.8583690987124464
9.0,2018,1,575,-17.027417027417027
9.0,2018,2,516,-10.26086956521739
9.0,2018,3,430,-16.666666666666664
9.0,2019,0,477,10.930232558139535
9.0,2019,1,508,6.498951781970649
9.0,2019,2,473,-6.889763779527559
9.0,2019,3,391,-17.33615221987315
9.0,2020,0,382,-2.3017902813299234
9.0,2020,1,299,-21.727748691099478
9.0,2020,2,208,-30.434782608695656
9.0,2020,3,277,33.17307692307692
9.0,2021,0,347,25.27075812274368
9.0,2021,1,365,5.187319884726225
9.0,2021,2,465,27.397260273972602
