Community_District,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
102.0,2023,1,806,2.41423125794155
103.0,2006,0,2374,
103.0,2006,1,2345,-1.2215669755686605
103.0,2006,2,2249,-4.093816631130064
103.0,2006,3,2151,-4.357492218763895
103.0,2007,0,2419,12.459321245932124
103.0,2007,1,2549,5.374121537825547
103.0,2007,2,2428,-4.746959591996862
103.0,2007,3,2162,-10.955518945634267
103.0,2008,0,2296,6.1979648473635525
103.0,2008,1,2284,-0.5226480836236934
103.0,2008,2,2141,-6.2609457092819625
103.0,2008,3,2106,-1.6347501167678655
103.0,2009,0,2394,13.675213675213676
103.0,2009,1,2380,-0.5847953216374269
103.0,2009,2,2322,-2.4369747899159666
103.0,2009,3,2047,-11.843238587424635
103.0,2010,0,2294,12.066438690766976
103.0,2010,1,2597,13.208369659982564
103.0,2010,2,2364,-8.971890643049672
103.0,2010,3,2218,-6.175972927241963
103.0,2011,0,2298,3.606853020739405
103.0,2011,1,2798,21.75805047867711
103.0,2011,2,2348,-16.082916368834884
103.0,2011,3,2248,-4.258943781942079
103.0,2012,0,2551,13.47864768683274
103.0,2012,1,2591,1.5680125441003527
103.0,2012,2,2671,3.0876109610189117
103.0,2012,3,2090,-21.75215275177836
103.0,2013,0,2398,14.736842105263156
103.0,2013,1,2526,5.337781484570475
103.0,2013,2,2395,-5.186064924782265
103.0,2013,3,2112,-11.816283924843423
103.0,2014,0,2183,3.361742424242424
103.0,2014,1,2344,7.375171781951442
103.0,2014,2,2275,-2.9436860068259385
103.0,2014,3,1911,-16.0
103.0,2015,0,2015,5.442176870748299
103.0,2015,1,2040,1.240694789081886
103.0,2015,2,2319,13.676470588235295
103.0,2015,3,1911,-17.59379042690815
103.0,2016,0,1849,-3.2443746729461016
103.0,2016,1,2037,10.167658193618172
103.0,2016,2,1820,-10.652920962199312
103.0,2016,3,1760,-3.296703296703297
103.0,2017,0,1868,6.136363636363637
103.0,2017,1,1683,-9.903640256959315
103.0,2017,2,1644,-2.3172905525846703
103.0,2017,3,1603,-2.493917274939173
103.0,2018,0,1773,10.605115408608858
103.0,2018,1,1490,-15.961646926113932
103.0,2018,2,1322,-11.275167785234899
103.0,2018,3,1242,-6.051437216338881
103.0,2019,0,1404,13.043478260869565
103.0,2019,1,1307,-6.908831908831909
103.0,2019,2,1335,2.1423106350420813
103.0,2019,3,1089,-18.426966292134832
103.0,2020,0,1066,-2.1120293847566574
103.0,2020,1,715,-32.926829268292686
103.0,2020,2,606,-15.244755244755245
103.0,2020,3,756,24.752475247524753
103.0,2021,0,924,22.22222222222222
103.0,2021,1,951,2.922077922077922
103.0,2021,2,1060,11.461619348054679
103.0,2021,3,1189,12.169811320754716
103.0,2022,0,1268,6.644238856181666
103.0,2022,1,1222,-3.627760252365931
103.0,2022,2,1250,2.2913256955810146
103.0,2022,3,1141,-8.72
103.0,2023,0,1147,0.5258545135845749
103.0,2023,1,1279,11.508282476024412
104.0,2006,0,3034,
104.0,2006,1,3304,8.899143045484509
104.0,2006,2,3453,4.509685230024213
104.0,2006,3,3154,-8.659136982334202
104.0,2007,0,3542,12.301838934686113
104.0,2007,1,3216,-9.203839638622249
104.0,2007,2,2899,-9.856965174129353
104.0,2007,3,2836,-2.1731631597102448
104.0,2008,0,3164,11.56558533145275
104.0,2008,1,3034,-4.108723135271807
104.0,2008,2,3114,2.6367831245880025
104.0,2008,3,3075,-1.2524084778420037
104.0,2009,0,3394,10.3739837398374
104.0,2009,1,3153,-7.100766057748968
104.0,2009,2,2906,-7.833809070726293
104.0,2009,3,2760,-5.024088093599449
104.0,2010,0,2951,6.920289855072463
104.0,2010,1,2958,0.23720772619451033
104.0,2010,2,2889,-2.332657200811359
104.0,2010,3,2594,-10.211145725164418
104.0,2011,0,2530,-2.467232074016962
104.0,2011,1,3008,18.893280632411066
104.0,2011,2,2723,-9.474734042553191
104.0,2011,3,2695,-1.0282776349614395
104.0,2012,0,2988,10.871985157699443
104.0,2012,1,2924,-2.14190093708166
104.0,2012,2,3005,2.7701778385772915
104.0,2012,3,2252,-25.05823627287854
104.0,2013,0,3344,48.49023090586146
104.0,2013,1,3366,0.6578947368421052
104.0,2013,2,3271,-2.822341057635175
104.0,2013,3,3336,1.9871598899419136
104.0,2014,0,3452,3.477218225419664
104.0,2014,1,3596,4.171494785631518
104.0,2014,2,3542,-1.5016685205784204
104.0,2014,3,2900,-18.125352907961602
104.0,2015,0,3060,5.517241379310345
104.0,2015,1,3003,-1.8627450980392157
104.0,2015,2,3265,8.724608724608725
104.0,2015,3,2984,-8.606431852986217
104.0,2016,0,3149,5.529490616621984
104.0,2016,1,2852,-9.431565576373451
104.0,2016,2,2562,-10.168302945301543
104.0,2016,3,2538,-0.936768149882904
104.0,2017,0,2490,-1.8912529550827424
104.0,2017,1,2471,-0.7630522088353414
104.0,2017,2,2451,-0.8093889113719142
104.0,2017,3,2417,-1.38718890248878
104.0,2018,0,2348,-2.8547786512205215
104.0,2018,1,2122,-9.625212947189098
104.0,2018,2,1780,-16.116870876531575
104.0,2018,3,1680,-5.617977528089887
104.0,2019,0,1612,-4.0476190476190474
104.0,2019,1,1725,7.009925558312655
104.0,2019,2,1563,-9.391304347826086
104.0,2019,3,1350,-13.62763915547025
104.0,2020,0,1363,0.962962962962963
104.0,2020,1,705,-48.275862068965516
104.0,2020,2,676,-4.113475177304964
104.0,2020,3,1086,60.650887573964496
104.0,2021,0,1222,12.52302025782689
104.0,2021,1,1182,-3.273322422258593
104.0,2021,2,1531,29.52622673434856
104.0,2021,3,1652,7.90333115610712
104.0,2022,0,1383,-16.283292978208234
104.0,2022,1,1493,7.953723788864786
104.0,2022,2,1440,-3.5498995311453454
104.0,2022,3,1453,0.9027777777777777
104.0,2023,0,1495,2.89057123193393
104.0,2023,1,1664,11.304347826086957
105.0,2006,0,2705,
105.0,2006,1,3056,12.975970425138634
105.0,2006,2,3145,2.912303664921466
105.0,2006,3,3306,5.119236883942766
105.0,2007,0,3538,7.017543859649122
105.0,2007,1,3258,-7.91407574901074
105.0,2007,2,3384,3.867403314917127
105.0,2007,3,3327,-1.6843971631205674
105.0,2008,0,3350,0.6913134956417193
105.0,2008,1,3079,-8.08955223880597
105.0,2008,2,3369,9.418642416368952
105.0,2008,3,3694,9.64677945978035
105.0,2009,0,3850,4.223064428803465
105.0,2009,1,3482,-9.55844155844156
105.0,2009,2,3531,1.4072372199885124
105.0,2009,3,4002,13.338997451146984
105.0,2010,0,4125,3.073463268365817
105.0,2010,1,4074,-1.2363636363636363
105.0,2010,2,4040,-0.8345606283750614
105.0,2010,3,4101,1.50990099009901
105.0,2011,0,4134,0.8046817849305048
105.0,2011,1,4000,-3.24141267537494
105.0,2011,2,3529,-11.774999999999999
105.0,2011,3,3989,13.034854066307735
105.0,2012,0,3696,-7.345199298069692
105.0,2012,1,3421,-7.440476190476191
105.0,2012,2,3553,3.858520900321544
105.0,2012,3,3774,6.220095693779904
105.0,2013,0,3665,-2.8881822999470055
105.0,2013,1,3620,-1.227830832196453
105.0,2013,2,3373,-6.823204419889503
105.0,2013,3,3799,12.629706492736437
105.0,2014,0,3956,4.132666491181889
105.0,2014,1,3814,-3.58948432760364
105.0,2014,2,3593,-5.794441531200839
105.0,2014,3,3345,-6.902310047314223
105.0,2015,0,3257,-2.6307922272047835
105.0,2015,1,3288,0.9517961314092724
105.0,2015,2,3314,0.7907542579075426
105.0,2015,3,3307,-0.2112251056125528
105.0,2016,0,3125,-5.503477472029029
105.0,2016,1,2666,-14.688
105.0,2016,2,2419,-9.264816204051012
105.0,2016,3,2530,4.588673005374122
105.0,2017,0,2330,-7.905138339920949
105.0,2017,1,2477,6.309012875536481
105.0,2017,2,2421,-2.2607993540573275
105.0,2017,3,2522,4.171829822387443
105.0,2018,0,2324,-7.8509119746233145
105.0,2018,1,1899,-18.287435456110153
105.0,2018,2,1943,2.3170089520800423
105.0,2018,3,1858,-4.374678332475553
105.0,2019,0,1754,-5.597416576964478
105.0,2019,1,1505,-14.19612314709236
105.0,2019,2,1488,-1.1295681063122924
105.0,2019,3,1441,-3.1586021505376345
105.0,2020,0,1125,-21.929215822345594
105.0,2020,1,649,-42.31111111111111
105.0,2020,2,518,-20.184899845916796
105.0,2020,3,789,52.316602316602314
105.0,2021,0,819,3.802281368821293
105.0,2021,1,879,7.326007326007327
105.0,2021,2,1069,21.61547212741752
105.0,2021,3,1251,17.02525724976614
105.0,2022,0,1267,1.2789768185451638
105.0,2022,1,1462,15.390686661404892
105.0,2022,2,1476,0.957592339261286
105.0,2022,3,1713,16.056910569105693
105.0,2023,0,1683,-1.7513134851138354
105.0,2023,1,1992,18.36007130124777
106.0,2006,0,829,
106.0,2006,1,826,-0.3618817852834741
106.0,2006,2,897,8.595641646489103
106.0,2006,3,777,-13.377926421404682
