Community_District,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
112.0,2008,12739,-3.645715150139929
112.0,2009,12765,0.20409765287699191
112.0,2010,12041,-5.671758715236976
112.0,2011,11580,-3.8285856656423887
112.0,2012,11154,-3.678756476683938
112.0,2013,10894,-2.331002331002331
112.0,2014,10712,-1.6706443914081146
112.0,2015,8725,-18.54929051530993
112.0,2016,8413,-3.5759312320916905
112.0,2017,7634,-9.259479377154404
112.0,2018,5749,-24.692166623002358
112.0,2019,4650,-19.116368064011134
112.0,2020,2970,-36.12903225806451
112.0,2021,3488,17.44107744107744
112.0,2022,3644,4.472477064220183
112.0,2023,2595,-28.787047200878156
164.0,2006,776,
164.0,2007,861,10.95360824742268
164.0,2008,915,6.2717770034843205
164.0,2009,825,-9.836065573770492
164.0,2010,940,13.939393939393941
164.0,2011,836,-11.063829787234042
164.0,2012,784,-6.220095693779904
164.0,2013,680,-13.26530612244898
164.0,2014,598,-12.058823529411764
164.0,2015,605,1.1705685618729096
164.0,2016,379,-37.35537190082645
164.0,2017,351,-7.387862796833773
164.0,2018,221,-37.03703703703704
164.0,2019,175,-20.81447963800905
164.0,2020,81,-53.714285714285715
164.0,2021,103,27.160493827160494
164.0,2022,165,60.19417475728155
164.0,2023,94,-43.03030303030303
201.0,2006,10762,
201.0,2007,11025,2.4437836833302358
201.0,2008,10866,-1.4421768707482994
201.0,2009,11614,6.883857905392969
201.0,2010,11184,-3.7024281040123985
201.0,2011,10445,-6.607653791130186
201.0,2012,11155,6.797510770703687
201.0,2013,11078,-0.6902734199910354
201.0,2014,12471,12.574471926340495
201.0,2015,11892,-4.642771229251864
201.0,2016,10181,-14.387823747056844
201.0,2017,8200,-19.457813574305078
201.0,2018,6597,-19.54878048780488
201.0,2019,6968,5.62376837956647
201.0,2020,4284,-38.51894374282434
201.0,2021,3957,-7.633053221288516
201.0,2022,5612,41.824614607025524
201.0,2023,3477,-38.04347826086957
202.0,2006,5722,
202.0,2007,6646,16.14819993009437
202.0,2008,7040,5.928377971712308
202.0,2009,7090,0.7102272727272727
202.0,2010,6994,-1.3540197461212977
202.0,2011,7739,10.651987417786675
202.0,2012,7193,-7.0551750872205705
202.0,2013,7080,-1.5709717781176142
202.0,2014,7240,2.2598870056497176
202.0,2015,6411,-11.450276243093922
202.0,2016,5968,-6.90999844018094
202.0,2017,4743,-20.526139410187668
202.0,2018,3626,-23.550495467004005
202.0,2019,3050,-15.88527302813017
202.0,2020,2217,-27.311475409836067
202.0,2021,1941,-12.449255751014885
202.0,2022,3081,58.73261205564142
202.0,2023,1780,-42.22654982148653
203.0,2006,5389,
203.0,2007,5429,0.7422527370569679
203.0,2008,6112,12.580585743230799
203.0,2009,7336,20.026178010471206
203.0,2010,7143,-2.6308615049073065
203.0,2011,6908,-3.2899342013159734
