State_Assembly_District,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
30.0,2016,1502,-15.617977528089888
30.0,2017,1382,-7.989347536617843
30.0,2018,1304,-5.643994211287988
30.0,2019,1165,-10.659509202453988
30.0,2020,746,-35.9656652360515
30.0,2021,845,13.270777479892763
30.0,2022,1191,40.946745562130175
30.0,2023,672,-43.57682619647355
31.0,2006,4376,
31.0,2007,4956,13.254113345521024
31.0,2008,5112,3.14769975786925
31.0,2009,5072,-0.7824726134585289
31.0,2010,5056,-0.31545741324921134
31.0,2011,5062,0.11867088607594937
31.0,2012,4669,-7.763729751086528
31.0,2013,4976,6.5752837866780895
31.0,2014,5445,9.42524115755627
31.0,2015,4163,-23.544536271809
31.0,2016,4078,-2.0417967811674274
31.0,2017,3710,-9.024031387935262
31.0,2018,3482,-6.145552560646901
31.0,2019,2639,-24.21022400919012
31.0,2020,1878,-28.83668056081849
31.0,2021,1849,-1.54419595314164
31.0,2022,1877,1.5143320713899404
31.0,2023,1247,-33.56419818859882
32.0,2006,8282,
32.0,2007,9230,11.446510504709009
32.0,2008,9819,6.38136511375948
32.0,2009,10803,10.021387106630003
32.0,2010,9528,-11.802277145237435
32.0,2011,9022,-5.310663308144417
32.0,2012,10095,11.893150077588118
32.0,2013,11470,13.620604259534423
32.0,2014,12317,7.384481255448998
32.0,2015,10718,-12.982057319152391
32.0,2016,8582,-19.929091248367232
32.0,2017,7487,-12.75926357492426
32.0,2018,7042,-5.943635635100842
32.0,2019,6658,-5.452996307867084
32.0,2020,3873,-41.82937819164914
32.0,2021,4119,6.351665375677769
32.0,2022,4520,9.735372663267782
32.0,2023,3356,-25.75221238938053
33.0,2006,3521,
33.0,2007,3474,-1.334848054529963
33.0,2008,3058,-11.974668969487624
33.0,2009,3581,17.1026814911707
33.0,2010,3693,3.1276179838034066
33.0,2011,3577,-3.14107771459518
33.0,2012,3724,4.10958904109589
33.0,2013,3945,5.934479054779807
33.0,2014,3994,1.2420785804816223
33.0,2015,3107,-22.208312468703053
33.0,2016,3316,6.726746057289991
33.0,2017,3027,-8.715319662243667
33.0,2018,2771,-8.457218368021142
33.0,2019,2425,-12.486466979429808
33.0,2020,1826,-24.701030927835053
33.0,2021,1731,-5.2026286966046005
33.0,2022,2281,31.773541305603697
33.0,2023,1459,-36.03682595352915
34.0,2006,5897,
34.0,2007,6212,5.3416991690690185
34.0,2008,5826,-6.213779781068899
34.0,2009,6403,9.903879162375558
34.0,2010,6189,-3.3421833515539587
34.0,2011,5557,-10.21166585878171
34.0,2012,5341,-3.8869893827604822
34.0,2013,5067,-5.130125444673282
34.0,2014,5471,7.9731596605486486
34.0,2015,4642,-15.152622920855418
34.0,2016,4268,-8.056872037914692
34.0,2017,3802,-10.918462980318651
34.0,2018,3700,-2.6827985270910046
34.0,2019,3461,-6.45945945945946
34.0,2020,2203,-36.34787633631898
34.0,2021,2215,0.5447117566954154
34.0,2022,2689,21.399548532731377
34.0,2023,1509,-43.882484194867985
35.0,2006,3180,
35.0,2007,3445,8.333333333333332
35.0,2008,3570,3.6284470246734397
35.0,2009,4031,12.913165266106445
35.0,2010,3790,-5.978665343587199
35.0,2011,3597,-5.092348284960422
35.0,2012,3133,-12.899638587711982
35.0,2013,3656,16.69326524098308
35.0,2014,3615,-1.1214442013129104
35.0,2015,2881,-20.304287690179805
35.0,2016,2215,-23.116973273169037
35.0,2017,2115,-4.514672686230249
35.0,2018,1789,-15.41371158392435
35.0,2019,1569,-12.297372833985467
35.0,2020,1109,-29.31803696622052
35.0,2021,1019,-8.11541929666366
35.0,2022,1125,10.40235525024534
35.0,2023,640,-43.111111111111114
36.0,2006,5180,
36.0,2007,6041,16.62162162162162
36.0,2008,5143,-14.865088561496442
36.0,2009,5052,-1.7693952945751508
36.0,2010,4593,-9.085510688836104
36.0,2011,4389,-4.441541476159373
36.0,2012,4230,-3.6226930963773065
36.0,2013,4838,14.373522458628843
36.0,2014,4709,-2.666391070690368
36.0,2015,4135,-12.189424506264599
36.0,2016,4602,11.293833131801694
36.0,2017,4456,-3.172533681008257
36.0,2018,3466,-22.217235188509875
36.0,2019,2876,-17.02250432775534
36.0,2020,2194,-23.713490959666203
36.0,2021,2905,32.40656335460346
